,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,group
10,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,4,"Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD.","Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD.",,,"['Our', 'best', 'model', 'achieves', 'state-of-the-art', 'results', 'on', 'GLUE,', 'RACE', 'and', 'SQuAD.']",,,,of
11,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,5,"These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements.","These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements.",,,"['These', 'results', 'highlight', 'the', 'importance', 'of', 'previously', 'overlooked', 'design', 'choices,', 'and', 'raise', 'questions', 'about', 'the', 'source', 'of', 'recently', 'reported', 'improvements.']",,,,These
12,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,6,We release our models and code.,We release our models and code.,,,"['We', 'release', 'our', 'models', 'and', 'code.']",,,,release
13,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Title,0,RoBERTa: A Robustly Optimized BERT Pretraining Approach.,,RoBERTa,: A Robustly Optimized BERT Pretraining Approach.,"['RoBERTa', ':', 'A', 'Robustly', 'Optimized', 'BERT', 'Pretraining', 'Approach.']","(0, 1)","(0, 7)",2,RoBERTa
14,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,0,"As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging.","As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging.",,,"['As', 'Transfer', 'Learning', 'from', 'large-scale', 'pre-trained', 'models', 'becomes', 'more', 'prevalent', 'in', 'Natural', 'Language', 'Processing', '(NLP),', 'operating', 'these', 'large', 'models', 'in', 'on-the-edge', 'and/or', 'under', 'constrained', 'computational', 'training', 'or', 'inference', 'budgets', 'remains', 'challenging.']",,,,prevalent
15,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,1,"In this work, we propose a method to pre-train a smaller general-purpose language representation model, called DistilBERT, which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts.","In this work, we propose a method to pre-train a smaller general-purpose language representation model, called",DistilBERT,", which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts.","['In', 'this', 'work,', 'we', 'propose', 'a', 'method', 'to', 'pre-train', 'a', 'smaller', 'general-purpose', 'language', 'representation', 'model,', 'called', 'DistilBERT', ',', 'which', 'can', 'then', 'be', 'fine-tuned', 'with', 'good', 'performances', 'on', 'a', 'wide', 'range', 'of', 'tasks', 'like', 'its', 'larger', 'counterparts.']","(16, 17)","(110, 120)",6,propose
16,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,2,"While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a BERT model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster.","While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a",BERT,"model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster.","['While', 'most', 'prior', 'work', 'investigated', 'the', 'use', 'of', 'distillation', 'for', 'building', 'task-specific', 'models,', 'we', 'leverage', 'knowledge', 'distillation', 'during', 'the', 'pre-training', 'phase', 'and', 'show', 'that', 'it', 'is', 'possible', 'to', 'reduce', 'the', 'size', 'of', 'a', 'BERT', 'model', 'by', '40%,', 'while', 'retaining', '97%', 'of', 'its', 'language', 'understanding', 'capabilities', 'and', 'being', '60%', 'faster.']","(33, 34)","(211, 215)",0,show
17,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,3,"To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses.","To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses.",,,"['To', 'leverage', 'the', 'inductive', 'biases', 'learned', 'by', 'larger', 'models', 'during', 'pre-training,', 'we', 'introduce', 'a', 'triple', 'loss', 'combining', 'language', 'modeling,', 'distillation', 'and', 'cosine-distance', 'losses.']",,,,introduce
18,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,4,"Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.","Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.",,,"['Our', 'smaller,', 'faster', 'and', 'lighter', 'model', 'is', 'cheaper', 'to', 'pre-train', 'and', 'we', 'demonstrate', 'its', 'capabilities', 'for', 'on-device', 'computations', 'in', 'a', 'proof-of-concept', 'experiment', 'and', 'a', 'comparative', 'on-device', 'study.']",,,,cheaper
19,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Title,0,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter.",,DistilBERT,", a distilled version of BERT: smaller, faster, cheaper and lighter.","['DistilBERT', ',', 'a', 'distilled', 'version', 'of', 'BERT:', 'smaller,', 'faster,', 'cheaper', 'and', 'lighter.']","(0, 1)","(0, 10)",6,DistilBERT
20,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,0,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks.,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks.,,,"['Pre-trained', 'text', 'encoders', 'have', 'rapidly', 'advanced', 'the', 'state', 'of', 'the', 'art', 'on', 'many', 'NLP', 'tasks.']",,,,advanced
21,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,1,"We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network.","We focus on one such model,",BERT,", and aim to quantify where linguistic information is captured within the network.","['We', 'focus', 'on', 'one', 'such', 'model,', 'BERT', ',', 'and', 'aim', 'to', 'quantify', 'where', 'linguistic', 'information', 'is', 'captured', 'within', 'the', 'network.']","(6, 7)","(27, 31)",0,captured
22,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,2,"We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference.","We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference.",,,"['We', 'find', 'that', 'the', 'model', 'represents', 'the', 'steps', 'of', 'the', 'traditional', 'NLP', 'pipeline', 'in', 'an', 'interpretable', 'and', 'localizable', 'way,', 'and', 'that', 'the', 'regions', 'responsible', 'for', 'each', 'step', 'appear', 'in', 'the', 'expected', 'sequence:', 'POS', 'tagging,', 'parsing,', 'NER,', 'semantic', 'roles,', 'then', 'coreference.']",,,,roles
23,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,3,"Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.","Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.",,,"['Qualitative', 'analysis', 'reveals', 'that', 'the', 'model', 'can', 'and', 'often', 'does', 'adjust', 'this', 'pipeline', 'dynamically,', 'revising', 'lower-level', 'decisions', 'on', 'the', 'basis', 'of', 'disambiguating', 'information', 'from', 'higher-level', 'representations.']",,,,analysis
24,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Title,0,BERT Rediscovers the Classical NLP Pipeline.,,BERT,Rediscovers the Classical NLP Pipeline.,"['BERT', 'Rediscovers', 'the', 'Classical', 'NLP', 'Pipeline.']","(0, 1)","(0, 4)",0,Rediscovers
25,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,0,"Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.",Large pre-trained neural networks such as,BERT,"have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.","['Large', 'pre-trained', 'neural', 'networks', 'such', 'as', 'BERT', 'have', 'had', 'great', 'recent', 'success', 'in', 'NLP,', 'motivating', 'a', 'growing', 'body', 'of', 'research', 'investigating', 'what', 'aspects', 'of', 'language', 'they', 'are', 'able', 'to', 'learn', 'from', 'unlabeled', 'data.']","(6, 7)","(41, 45)",0,success
26,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,1,"Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers).","Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers).",,,"['Most', 'recent', 'analysis', 'has', 'focused', 'on', 'model', 'outputs', '(e.g.,', 'language', 'model', 'surprisal)', 'or', 'internal', 'vector', 'representations', '(e.g.,', 'probing', 'classifiers).']",,,,outputs
27,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,2,"Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to BERT.","Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to",BERT,.,"['Complementary', 'to', 'these', 'works,', 'we', 'propose', 'methods', 'for', 'analyzing', 'the', 'attention', 'mechanisms', 'of', 'pre-trained', 'models', 'and', 'apply', 'them', 'to', 'BERT', '.']","(19, 20)","(127, 131)",0,propose
28,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,3,"BERT's attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors.",,BERT,"'s attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors.","['BERT', ""'s"", 'attention', 'heads', 'exhibit', 'patterns', 'such', 'as', 'attending', 'to', 'delimiter', 'tokens,', 'specific', 'positional', 'offsets,', 'or', 'broadly', 'attending', 'over', 'the', 'whole', 'sentence,', 'with', 'heads', 'in', 'the', 'same', 'layer', 'often', 'exhibiting', 'similar', 'behaviors.']","(0, 1)","(0, 4)",0,BERT
29,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,4,We further show that certain attention heads correspond well to linguistic notions of syntax and coreference.,We further show that certain attention heads correspond well to linguistic notions of syntax and coreference.,,,"['We', 'further', 'show', 'that', 'certain', 'attention', 'heads', 'correspond', 'well', 'to', 'linguistic', 'notions', 'of', 'syntax', 'and', 'coreference.']",,,,show
30,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,5,"For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy.","For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy.",,,"['For', 'example,', 'we', 'find', 'heads', 'that', 'attend', 'to', 'the', 'direct', 'objects', 'of', 'verbs,', 'determiners', 'of', 'nouns,', 'objects', 'of', 'prepositions,', 'and', 'coreferent', 'mentions', 'with', 'remarkably', 'high', 'accuracy.']",,,,find
31,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,6,"Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in BERT's attention.","Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in",BERT,'s attention.,"['Lastly,', 'we', 'propose', 'an', 'attention-based', 'probing', 'classifier', 'and', 'use', 'it', 'to', 'further', 'demonstrate', 'that', 'substantial', 'syntactic', 'information', 'is', 'captured', 'in', 'BERT', ""'s"", 'attention.']","(20, 21)","(144, 148)",0,Lastly
32,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Title,0,What Does BERT Look At?,What Does,BERT,Look At?,"['What', 'Does', 'BERT', 'Look', 'At?']","(2, 3)","(9, 13)",0,BERT
33,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Title,1,An Analysis of BERT's Attention.,An Analysis of,BERT,'s Attention.,"['An', 'Analysis', 'of', 'BERT', ""'s"", 'Attention.']","(3, 4)","(14, 18)",0,Analysis
34,https://www.semanticscholar.org/paper/Passage-Re-ranking-with-BERT-Nogueira-Cho/85e07116316e686bf787114ba10ca60f4ea7c5b2,5,Abstract,0,"Recently, neural models pretrained on a language modeling task, such as ELMo (Peters et al., 2017), OpenAI GPT (Radford et al., 2018), and BERT (Devlin et al., 2018), have achieved impressive results on various natural language processing tasks such as question-answering and natural language inference.","Recently, neural models pretrained on a language modeling task, such as ELMo (Peters et al., 2017), OpenAI GPT (Radford et al., 2018), and",BERT,"(Devlin et al., 2018), have achieved impressive results on various natural language processing tasks such as question-answering and natural language inference.","['Recently,', 'neural', 'models', 'pretrained', 'on', 'a', 'language', 'modeling', 'task,', 'such', 'as', 'ELMo', '(Peters', 'et', 'al.,', '2017),', 'OpenAI', 'GPT', '(Radford', 'et', 'al.,', '2018),', 'and', 'BERT', '(Devlin', 'et', 'al.,', '2018),', 'have', 'achieved', 'impressive', 'results', 'on', 'various', 'natural', 'language', 'processing', 'tasks', 'such', 'as', 'question-answering', 'and', 'natural', 'language', 'inference.']","(23, 24)","(138, 142)",0,Recently
35,https://www.semanticscholar.org/paper/Passage-Re-ranking-with-BERT-Nogueira-Cho/85e07116316e686bf787114ba10ca60f4ea7c5b2,5,Abstract,1,"In this paper, we describe a simple re-implementation of BERT for query-based passage re-ranking.","In this paper, we describe a simple re-implementation of",BERT,for query-based passage re-ranking.,"['In', 'this', 'paper,', 'we', 'describe', 'a', 'simple', 're-implementation', 'of', 'BERT', 'for', 'query-based', 'passage', 're-ranking.']","(9, 10)","(56, 60)",0,describe
36,https://www.semanticscholar.org/paper/Passage-Re-ranking-with-BERT-Nogueira-Cho/85e07116316e686bf787114ba10ca60f4ea7c5b2,5,Abstract,2,"Our system is the state of the art on the TREC-CAR dataset and the top entry in the leaderboard of the MS MARCO passage retrieval task, outperforming the previous state of the art by 27% (relative) in MRR@10.","Our system is the state of the art on the TREC-CAR dataset and the top entry in the leaderboard of the MS MARCO passage retrieval task, outperforming the previous state of the art by 27% (relative) in MRR@10.",,,"['Our', 'system', 'is', 'the', 'state', 'of', 'the', 'art', 'on', 'the', 'TREC-CAR', 'dataset', 'and', 'the', 'top', 'entry', 'in', 'the', 'leaderboard', 'of', 'the', 'MS', 'MARCO', 'passage', 'retrieval', 'task,', 'outperforming', 'the', 'previous', 'state', 'of', 'the', 'art', 'by', '27%', '(relative)', 'in', 'MRR@10.']",,,,task
37,https://www.semanticscholar.org/paper/Passage-Re-ranking-with-BERT-Nogueira-Cho/85e07116316e686bf787114ba10ca60f4ea7c5b2,5,Abstract,3,The code to reproduce our results is available at this https URL,The code to reproduce our results is available at this https URL,,,"['The', 'code', 'to', 'reproduce', 'our', 'results', 'is', 'available', 'at', 'this', 'https', 'URL']",,,,available
38,https://www.semanticscholar.org/paper/Passage-Re-ranking-with-BERT-Nogueira-Cho/85e07116316e686bf787114ba10ca60f4ea7c5b2,5,Title,0,Passage Re-ranking with BERT.,Passage Re-ranking with,BERT,.,"['Passage', 'Re-ranking', 'with', 'BERT', '.']","(3, 4)","(23, 27)",0,Re
39,https://www.semanticscholar.org/paper/Assessing-BERT's-Syntactic-Abilities-Goldberg/efeab0dcdb4c1cce5e537e57745d84774be99b9a,6,Abstract,0,"I assess the extent to which the recently introduced BERT model captures English syntactic phenomena, using (1) naturally-occurring subject-verb agreement stimuli; (2) ""coloreless green ideas"" subject-verb agreement stimuli, in which content words in natural sentences are randomly replaced with words sharing the same part-of-speech and inflection; and (3) manually crafted stimuli for subject-verb agreement and reflexive anaphora phenomena.",I assess the extent to which the recently introduced,BERT,"model captures English syntactic phenomena, using (1) naturally-occurring subject-verb agreement stimuli; (2) ""coloreless green ideas"" subject-verb agreement stimuli, in which content words in natural sentences are randomly replaced with words sharing the same part-of-speech and inflection; and (3) manually crafted stimuli for subject-verb agreement and reflexive anaphora phenomena.","['I', 'assess', 'the', 'extent', 'to', 'which', 'the', 'recently', 'introduced', 'BERT', 'model', 'captures', 'English', 'syntactic', 'phenomena,', 'using', '(1)', 'naturally-occurring', 'subject-verb', 'agreement', 'stimuli;', '(2)', '""coloreless', 'green', 'ideas""', 'subject-verb', 'agreement', 'stimuli,', 'in', 'which', 'content', 'words', 'in', 'natural', 'sentences', 'are', 'randomly', 'replaced', 'with', 'words', 'sharing', 'the', 'same', 'part-of-speech', 'and', 'inflection;', 'and', '(3)', 'manually', 'crafted', 'stimuli', 'for', 'subject-verb', 'agreement', 'and', 'reflexive', 'anaphora', 'phenomena.']","(9, 10)","(52, 56)",0,)
40,https://www.semanticscholar.org/paper/Assessing-BERT's-Syntactic-Abilities-Goldberg/efeab0dcdb4c1cce5e537e57745d84774be99b9a,6,Abstract,1,The BERT model performs remarkably well on all cases.,The,BERT,model performs remarkably well on all cases.,"['The', 'BERT', 'model', 'performs', 'remarkably', 'well', 'on', 'all', 'cases.']","(1, 2)","(3, 7)",0,performs
41,https://www.semanticscholar.org/paper/Assessing-BERT's-Syntactic-Abilities-Goldberg/efeab0dcdb4c1cce5e537e57745d84774be99b9a,6,Title,0,Assessing BERT's Syntactic Abilities.,Assessing,BERT,'s Syntactic Abilities.,"['Assessing', 'BERT', ""'s"", 'Syntactic', 'Abilities.']","(1, 2)","(9, 13)",0,BERT
42,https://www.semanticscholar.org/paper/Beto%2C-Bentz%2C-Becas%3A-The-Surprising-Cross-Lingual-of-Wu-Dredze/2fa3f7ce620a1c7155daef6620dd6bb0e01934f3,7,Abstract,0,"Pretrained contextual representation models (Peters et al., 2018; Devlin et al., 2018) have pushed forward the state-of-the-art on many NLP tasks.","Pretrained contextual representation models (Peters et al., 2018; Devlin et al., 2018) have pushed forward the state-of-the-art on many NLP tasks.",,,"['Pretrained', 'contextual', 'representation', 'models', '(Peters', 'et', 'al.,', '2018;', 'Devlin', 'et', 'al.,', '2018)', 'have', 'pushed', 'forward', 'the', 'state-of-the-art', 'on', 'many', 'NLP', 'tasks.']",,,,models
