,split_0,split_1,split_2,averb,averb_s,averb_o,averb_relation,root,root_full,root_s,root_o,fverb,fword,apos,apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices
10,"We find that BERT was significantly undertrained , and can match or exceed the performance of every model published after",it,.,published,[],[],-1.0,We,We,[],"['find that BERT was significantly undertrained , and can match or exceed the performance of every model published after it .']",,,"['PRON', 'ADP', 'VERB']","['it', 'after', 'published']",https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,3,"We find that BERT was significantly undertrained, and can match or exceed the performance of every model published after it.","['We', 'find', 'that', 'BERT', 'was', 'significantly', 'undertrained', ',', 'and', 'can', 'match', 'or', 'exceed', 'the', 'performance', 'of', 'every', 'model', 'published', 'after', 'it', '.']","(20, 21)","(121, 123)"
11,"Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD.",,,,,,,of,of,['-'],"['Our best model achieves state - the - art results on GLUE , RACE and SQuAD .']",,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,4,"Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD.","['Our', 'best', 'model', 'achieves', 'state-of-the-art', 'results', 'on', 'GLUE,', 'RACE', 'and', 'SQuAD.']",,
12,"These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements.",,,,,,,These,These,[],"['results highlight the importance of previously overlooked design choices , and raise questions about the source of recently reported improvements .']",,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,5,"These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements.","['These', 'results', 'highlight', 'the', 'importance', 'of', 'previously', 'overlooked', 'design', 'choices,', 'and', 'raise', 'questions', 'about', 'the', 'source', 'of', 'recently', 'reported', 'improvements.']",,
13,We release our models and code.,,,,,,,release,release,['We'],"['our models and', 'code', '.']",,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,6,We release our models and code.,"['We', 'release', 'our', 'models', 'and', 'code.']",,
14,,RoBERTa,: A Robustly Optimized BERT Pretraining Approach.,,,,,RoBERTa,RoBERTa,[],[': A Robustly Optimized BERT Pretraining Approach .'],,A,['PROPN'],['RoBERTa'],https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Title,0,RoBERTa: A Robustly Optimized BERT Pretraining Approach.,"['RoBERTa', ':', 'A', 'Robustly', 'Optimized', 'BERT', 'Pretraining', 'Approach.']","(0, 1)","(0, 7)"
15,"As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging.",,,,,,,prevalent,becomes prevalent,['As Transfer Learning from large - scale pre - trained models'],[],,,,,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,0,"As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging.","['As', 'Transfer', 'Learning', 'from', 'large-scale', 'pre-trained', 'models', 'becomes', 'more', 'prevalent', 'in', 'Natural', 'Language', 'Processing', '(NLP),', 'operating', 'these', 'large', 'models', 'in', 'on-the-edge', 'and/or', 'under', 'constrained', 'computational', 'training', 'or', 'inference', 'budgets', 'remains', 'challenging.']",,
16,"In this work, we propose a method to pre-train a smaller general-purpose language representation model, called",DistilBERT,", which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts.",called,[],"['DistilBERT', ',']",-1.0,propose,propose,"[',', 'we']","['a method to pre - train a smaller general - purpose language representation model , called DistilBERT ,', 'which can then be fine - tuned with good performances on a wide range of tasks like its larger counterparts .']",be,which,"['NUM', 'VERB', 'NOUN']","['DistilBERT', 'called', 'model']",https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,1,"In this work, we propose a method to pre-train a smaller general-purpose language representation model, called DistilBERT, which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts.","['In', 'this', 'work,', 'we', 'propose', 'a', 'method', 'to', 'pre-train', 'a', 'smaller', 'general-purpose', 'language', 'representation', 'model,', 'called', 'DistilBERT', ',', 'which', 'can', 'then', 'be', 'fine-tuned', 'with', 'good', 'performances', 'on', 'a', 'wide', 'range', 'of', 'tasks', 'like', 'its', 'larger', 'counterparts.']","(16, 17)","(110, 120)"
17,"While most prior work investigated the use of distillation for building task - specific models , we leverage knowledge distillation during the pre - training phase and show that it is possible to reduce the size of",a BERT model,"by 40 % , while retaining 97 % of its language understanding capabilities and being 60 % faster .",to reduce,[],"['we leverage knowledge distillation during phase', 'the size of a BERT model']",-1.0,show,show,[],[],retaining,by,"['NOUN', 'ADP', 'NOUN']","['model', 'of', 'size']",https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,2,"While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a BERT model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster.","['While', 'most', 'prior', 'work', 'investigated', 'the', 'use', 'of', 'distillation', 'for', 'building', 'task', '-', 'specific', 'models', ',', 'we', 'leverage', 'knowledge', 'distillation', 'during', 'the', 'pre', '-', 'training', 'phase', 'and', 'show', 'that', 'it', 'is', 'possible', 'to', 'reduce', 'the', 'size', 'of', 'a', 'BERT', 'model', 'by', '40', '%', ',', 'while', 'retaining', '97', '%', 'of', 'its', 'language', 'understanding', 'capabilities', 'and', 'being', '60', '%', 'faster', '.']","(37, 40)","(214, 226)"
18,"While most prior work investigated the use of distillation for building task - specific models , we leverage knowledge distillation during the pre - training phase and show that it is possible to reduce the size of a BERT model by 40 % , while retaining 97 % of",its,language understanding capabilities and being 60 % faster .,retaining,[],['97 % of its language understanding capabilities and being 60 % faster .'],-1.0,show,show,[],[],being,language,"['DET', 'NOUN', 'ADP']","['its', 'capabilities', 'of']",https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,2,"While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a BERT model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster.","['While', 'most', 'prior', 'work', 'investigated', 'the', 'use', 'of', 'distillation', 'for', 'building', 'task', '-', 'specific', 'models', ',', 'we', 'leverage', 'knowledge', 'distillation', 'during', 'the', 'pre', '-', 'training', 'phase', 'and', 'show', 'that', 'it', 'is', 'possible', 'to', 'reduce', 'the', 'size', 'of', 'a', 'BERT', 'model', 'by', '40', '%', ',', 'while', 'retaining', '97', '%', 'of', 'its', 'language', 'understanding', 'capabilities', 'and', 'being', '60', '%', 'faster', '.']","(49, 50)","(261, 264)"
19,"To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses.",,,,,,,introduce,introduce,"['To leverage the inductive biases learned by larger models during pre - training', 'we']","['a triple loss combining language modeling , distillation and cosine - distance losses']",,,,,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,3,"To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses.","['To', 'leverage', 'the', 'inductive', 'biases', 'learned', 'by', 'larger', 'models', 'during', 'pre-training,', 'we', 'introduce', 'a', 'triple', 'loss', 'combining', 'language', 'modeling,', 'distillation', 'and', 'cosine-distance', 'losses.']",,
20,"Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.",,,,,,,cheaper,is cheaper,"['Our smaller , faster and lighter model']",['pre -'],,,,,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,4,"Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.","['Our', 'smaller,', 'faster', 'and', 'lighter', 'model', 'is', 'cheaper', 'to', 'pre-train', 'and', 'we', 'demonstrate', 'its', 'capabilities', 'for', 'on-device', 'computations', 'in', 'a', 'proof-of-concept', 'experiment', 'and', 'a', 'comparative', 'on-device', 'study.']",,
21,,DistilBERT,", a distilled version of BERT: smaller, faster, cheaper and lighter.",,,,,DistilBERT,DistilBERT,[],['.'],,a,['NUM'],['DistilBERT'],https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Title,0,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter.","['DistilBERT', ',', 'a', 'distilled', 'version', 'of', 'BERT:', 'smaller,', 'faster,', 'cheaper', 'and', 'lighter.']","(0, 1)","(0, 10)"
22,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks.,,,,,,,advanced,advanced,['Pre - trained text encoders have rapidly .'],['the state of the art'],,,,,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,0,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks.,"['Pre-trained', 'text', 'encoders', 'have', 'rapidly', 'advanced', 'the', 'state', 'of', 'the', 'art', 'on', 'many', 'NLP', 'tasks.']",,
23,We focus on,"one such model , BERT",", and aim to quantify where linguistic information is captured within the network .",focus,['We'],[],-1.0,captured,is captured,[],[],quantify,and,"['NOUN', 'ADP', 'VERB']","['model', 'on', 'focus']",https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,1,"We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network.","['We', 'focus', 'on', 'one', 'such', 'model', ',', 'BERT', ',', 'and', 'aim', 'to', 'quantify', 'where', 'linguistic', 'information', 'is', 'captured', 'within', 'the', 'network', '.']","(3, 8)","(11, 32)"
24,We find that,the model,"represents the steps of the traditional NLP pipeline in an interpretable and localizable way , and that the regions responsible for each step appear in the expected sequence : POS tagging , parsing , NER , semantic roles , then coreference .",represents,['the model'],"['the steps of the traditional NLP pipeline in an interpretable and localizable way , and that the regions responsible for each step appear in the expected sequence :']",1.0,roles,roles,"['POS tagging , parsing ,', 'NER', ',', 'semantic']","[',', 'We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way , and that the regions responsible for each step appear in the expected sequence : then coreference .']",represents,represents,"['NOUN', 'VERB', 'VERB']","['model', 'represents', 'find']",https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,2,"We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference.","['We', 'find', 'that', 'the', 'model', 'represents', 'the', 'steps', 'of', 'the', 'traditional', 'NLP', 'pipeline', 'in', 'an', 'interpretable', 'and', 'localizable', 'way', ',', 'and', 'that', 'the', 'regions', 'responsible', 'for', 'each', 'step', 'appear', 'in', 'the', 'expected', 'sequence', ':', 'POS', 'tagging', ',', 'parsing', ',', 'NER', ',', 'semantic', 'roles', ',', 'then', 'coreference', '.']","(3, 5)","(12, 21)"
25,Qualitative analysis reveals that,the model,"can and often does adjust this pipeline dynamically , revising lower - level decisions on the basis of disambiguating information from higher - level representations .",does adjust,['the model can and often'],"['this pipeline dynamically , revising lower - level decisions on the basis of disambiguating information from higher - level representations .']",1.0,analysis,analysis,[],"['reveals that the model can and often does adjust this pipeline dynamically , revising lower - level decisions on the basis of disambiguating information from higher - level representations .']",does,can,"['NOUN', 'VERB', 'VERB']","['model', 'adjust', 'reveals']",https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,3,"Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.","['Qualitative', 'analysis', 'reveals', 'that', 'the', 'model', 'can', 'and', 'often', 'does', 'adjust', 'this', 'pipeline', 'dynamically', ',', 'revising', 'lower', '-', 'level', 'decisions', 'on', 'the', 'basis', 'of', 'disambiguating', 'information', 'from', 'higher', '-', 'level', 'representations', '.']","(4, 6)","(33, 42)"
26,,BERT,Rediscovers the Classical NLP Pipeline.,,,,,Rediscovers,Rediscovers,['BERT'],['Classical NLP Pipeline'],,Rediscovers,"['PROPN', 'NOUN']","['BERT', 'Rediscovers']",https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Title,0,BERT Rediscovers the Classical NLP Pipeline.,"['BERT', 'Rediscovers', 'the', 'Classical', 'NLP', 'Pipeline.']","(0, 1)","(0, 4)"
27,,Large pre - trained neural networks such as BERT,"have had great recent success in NLP , motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data .",have had,['Large pre - trained neural networks such as BERT'],[],1.0,success,success,[],[],have,have,"['ADJ', 'VERB', 'ADJ']","['Large', 'had', 'recent']",https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,0,"Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.","['Large', 'pre', '-', 'trained', 'neural', 'networks', 'such', 'as', 'BERT', 'have', 'had', 'great', 'recent', 'success', 'in', 'NLP', ',', 'motivating', 'a', 'growing', 'body', 'of', 'research', 'investigating', 'what', 'aspects', 'of', 'language', 'they', 'are', 'able', 'to', 'learn', 'from', 'unlabeled', 'data', '.']","(0, 9)","(0, 48)"
28,"Large pre - trained neural networks such as BERT have had great recent success in NLP , motivating a growing body of research investigating what aspects of language",they,are able to learn from unlabeled data .,motivating,"[',']",['a growing body of research investigating what'],-1.0,success,success,[],[],are,are,"['PRON', 'ADJ', 'VERB']","['they', 'able', 'motivating']",https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,0,"Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.","['Large', 'pre', '-', 'trained', 'neural', 'networks', 'such', 'as', 'BERT', 'have', 'had', 'great', 'recent', 'success', 'in', 'NLP', ',', 'motivating', 'a', 'growing', 'body', 'of', 'research', 'investigating', 'what', 'aspects', 'of', 'language', 'they', 'are', 'able', 'to', 'learn', 'from', 'unlabeled', 'data', '.']","(28, 29)","(164, 168)"
29,Large pre - trained neural networks such as,BERT,"have had great recent success in NLP , motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data .",have had,['Large pre - trained neural networks such as BERT'],[],1.0,success,success,[],[],have,have,"['PROPN', 'SCONJ', 'NOUN']","['BERT', 'as', 'networks']",https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,0,"Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.","['Large', 'pre', '-', 'trained', 'neural', 'networks', 'such', 'as', 'BERT', 'have', 'had', 'great', 'recent', 'success', 'in', 'NLP', ',', 'motivating', 'a', 'growing', 'body', 'of', 'research', 'investigating', 'what', 'aspects', 'of', 'language', 'they', 'are', 'able', 'to', 'learn', 'from', 'unlabeled', 'data', '.']","(8, 9)","(43, 47)"
30,"Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers).",,,,,,,outputs,outputs,[],"['(', 'e.g.', 'model surprisal ) or internal vector representations ( e.g. , probing classifiers ) .']",,,,,https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,1,"Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers).","['Most', 'recent', 'analysis', 'has', 'focused', 'on', 'model', 'outputs', '(e.g.,', 'language', 'model', 'surprisal)', 'or', 'internal', 'vector', 'representations', '(e.g.,', 'probing', 'classifiers).']",,
31,"Complementary to these works , we propose methods for analyzing the attention mechanisms of pre - trained models and apply them to",BERT,.,apply,[],['them'],-1.0,propose,propose,"['Complementary to these works', ',', 'we']",['methods for analyzing the attention mechanisms of pre - trained models and apply them to BERT'],,,"['PROPN', 'ADP', 'VERB']","['BERT', 'to', 'apply']",https://www.semanticscholar.org/paper/What-Does-BERT-Look-At-An-Analysis-of-BERT's-Clark-Khandelwal/95a251513853c6032bdecebd4b74e15795662986,4,Abstract,2,"Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to BERT.","['Complementary', 'to', 'these', 'works', ',', 'we', 'propose', 'methods', 'for', 'analyzing', 'the', 'attention', 'mechanisms', 'of', 'pre', '-', 'trained', 'models', 'and', 'apply', 'them', 'to', 'BERT', '.']","(22, 23)","(130, 134)"
