,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_subj_allspans,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_verb_allspans,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
10,Exploring the Limits of Transfer Learning with a Unified Text-to-Text,Transformer,.,VP,"['VBG', 'NP', 'HYPH', 'IN', 'HYPH', 'NN', 'NP', '.']",the Limits Text Transformer,0.0,10.0,85.0,10.0,85.0,"[(10, 13), (14, 20), (69, 73), (74, 85)]",Exploring,0.0,0.0,9.0,0.0,9.0,"[(0, 9)]","['the', 'Limits', 'Text', 'Transformer']",['Exploring'],Learning,['the Limits of Transfer'],[],-1.0,0.0,33.0,42.0,33.0,42.0,Exploring,Exploring,[],['the Limits of Transfer Learning with a Unified Text - to - Text Transformer .'],0,0,10,0,10,,,"['PROPN', 'ADP', 'NOUN']","['Transformer', 'to', 'Text']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Title,0,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.,"['Exploring', 'the', 'Limits', 'of', 'Transfer', 'Learning', 'with', 'a', 'Unified', 'Text-to-Text', 'Transformer', '.']","(10, 11)","(69, 80)",0.0
11,Exploring the Limits of,Transfer Learning,with a Unified Text-to-Text Transformer .,VP,"['VBG', 'NP', 'HYPH', 'IN', 'HYPH', 'NN', 'NP', '.']",the Limits Text Transformer,0.0,10.0,85.0,10.0,85.0,"[(10, 13), (14, 20), (69, 73), (74, 85)]",Exploring,0.0,0.0,9.0,0.0,9.0,"[(0, 9)]","['the', 'Limits', 'Text', 'Transformer']",['Exploring'],Learning,['the Limits of Transfer'],[],0.0,1.0,33.0,42.0,9.0,18.0,Exploring,Exploring,[],['the Limits of Transfer Learning with a Unified Text - to - Text Transformer .'],0,0,10,0,10,Unified,with,"['VERB', 'VERB']","['Learning', 'Exploring']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Title,0,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.,"['Exploring', 'the', 'Limits', 'of', 'Transfer', 'Learning', 'with', 'a', 'Unified', 'Text-to-Text', 'Transformer', '.']","(4, 6)","(23, 40)",0.0
12,Exploring the Limits of,Transfer,Learning with a Unified Text-to-Text Transformer .,VP,"['VBG', 'NP', 'HYPH', 'IN', 'HYPH', 'NN', 'NP', '.']",the Limits Text Transformer,0.0,10.0,85.0,10.0,85.0,"[(10, 13), (14, 20), (69, 73), (74, 85)]",Exploring,0.0,0.0,9.0,0.0,9.0,"[(0, 9)]","['the', 'Limits', 'Text', 'Transformer']",['Exploring'],Learning,['the Limits of Transfer'],[],1.0,2.0,33.0,42.0,0.0,9.0,Exploring,Exploring,[],['the Limits of Transfer Learning with a Unified Text - to - Text Transformer .'],0,0,10,0,10,Unified,Learning,"['NOUN', 'ADP', 'NOUN']","['Transfer', 'of', 'Limits']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Title,0,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.,"['Exploring', 'the', 'Limits', 'of', 'Transfer', 'Learning', 'with', 'a', 'Unified', 'Text-to-Text', 'Transformer', '.']","(4, 5)","(23, 31)",0.0
13,"Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.",,,S,"['NP', 'VP', '.']",Large pre - trained neural networks,0.0,0.0,35.0,0.0,35.0,"[(0, 5), (6, 9), (10, 11), (12, 19), (20, 26), (27, 35)]",have had,0.0,49.0,57.0,49.0,57.0,"[(49, 53), (54, 57)]","['Large', 'pre', '-', 'trained', 'neural', 'networks']","['have', 'had', 'motivating']",,,,,,,,,,success,success,[],[],0,71,79,71,79,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,0,"Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data.","['Large', 'pre-trained', 'neural', 'networks', 'such', 'as', 'BERT', 'have', 'had', 'great', 'recent', 'success', 'in', 'NLP,', 'motivating', 'a', 'growing', 'body', 'of', 'research', 'investigating', 'what', 'aspects', 'of', 'language', 'they', 'are', 'able', 'to', 'learn', 'from', 'unlabeled', 'data.']",,,
14,"Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers).",,,S,"['NP', 'VP', '.']",Most recent analysis,0.0,0.0,20.0,0.0,20.0,"[(0, 4), (5, 11), (12, 20)]",has focused,0.0,21.0,32.0,21.0,32.0,"[(21, 24), (25, 32)]","['Most', 'recent', 'analysis']","['has', 'focused']",,,,,,,,,,outputs,outputs,[],"['(', 'e.g.', 'model surprisal ) or internal vector representations ( e.g. , probing classifiers ) .']",0,42,50,42,50,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,1,"Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers).","['Most', 'recent', 'analysis', 'has', 'focused', 'on', 'model', 'outputs', '(e.g.,', 'language', 'model', 'surprisal)', 'or', 'internal', 'vector', 'representations', '(e.g.,', 'probing', 'classifiers).']",,,
15,"Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to BERT.",,,S,"['ADJP', ',', 'NP', 'VP', '.']",we,0.0,31.0,33.0,31.0,33.0,"[(31, 33)]",propose,0.0,34.0,41.0,34.0,41.0,"[(34, 41)]",['we'],['propose'],,,,,,,,,,propose,propose,"['Complementary to these works', ',', 'we']",['methods for analyzing the attention mechanisms of pre - trained models and apply them to BERT'],0,34,42,34,42,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,2,"Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to BERT.","['Complementary', 'to', 'these', 'works,', 'we', 'propose', 'methods', 'for', 'analyzing', 'the', 'attention', 'mechanisms', 'of', 'pre-trained', 'models', 'and', 'apply', 'them', 'to', 'BERT.']",,,
16,"BERT's attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors.",,,S,"['NP', 'VP', '.']",BERT 's attention,0.0,0.0,17.0,0.0,17.0,"[(0, 4), (5, 7), (8, 17)]",,,,,,,[],"['BERT', 'attention']",[],,,,,,,,,,BERT,BERT,[],"[""'s"", 'attention', 'heads exhibit patterns such as attending to delimiter tokens , specific positional offsets , or broadly attending over the whole sentence , with heads in the same layer often exhibiting similar behaviors .']",0,0,5,0,5,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,3,"BERT's attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors.","[""BERT's"", 'attention', 'heads', 'exhibit', 'patterns', 'such', 'as', 'attending', 'to', 'delimiter', 'tokens,', 'specific', 'positional', 'offsets,', 'or', 'broadly', 'attending', 'over', 'the', 'whole', 'sentence,', 'with', 'heads', 'in', 'the', 'same', 'layer', 'often', 'exhibiting', 'similar', 'behaviors.']",,,
17,We further show that certain attention heads correspond well to linguistic notions of syntax and coreference.,,,S,"['NP', 'ADVP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",show,0.0,11.0,15.0,11.0,15.0,"[(11, 15)]",['We'],['show'],,,,,,,,,,show,show,"['We', 'further']",[],0,11,16,11,16,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,4,We further show that certain attention heads correspond well to linguistic notions of syntax and coreference.,"['We', 'further', 'show', 'that', 'certain', 'attention', 'heads', 'correspond', 'well', 'to', 'linguistic', 'notions', 'of', 'syntax', 'and', 'coreference.']",,,
18,"For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,14.0,16.0,14.0,16.0,"[(14, 16)]",find,0.0,17.0,21.0,17.0,21.0,"[(17, 21)]",['we'],['find'],,,,,,,,,,find,find,"['example ,', 'we', 'For']","['heads', 'that attend to the direct objects of verbs , determiners of nouns , objects of prepositions , and coreferent mentions with remarkably high accuracy .']",0,17,22,17,22,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,5,"For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy.","['For', 'example,', 'we', 'find', 'heads', 'that', 'attend', 'to', 'the', 'direct', 'objects', 'of', 'verbs,', 'determiners', 'of', 'nouns,', 'objects', 'of', 'prepositions,', 'and', 'coreferent', 'mentions', 'with', 'remarkably', 'high', 'accuracy.']",,,
19,"Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in BERT's attention.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,9.0,11.0,9.0,11.0,"[(9, 11)]",propose and use,0.0,12.0,67.0,12.0,67.0,"[(12, 19), (60, 63), (64, 67)]",['we'],"['propose', 'use', 'demonstrate']",,,,,,,,,,Lastly,Lastly,[],"[""we propose an attention - based probing classifier and use it to further demonstrate that substantial syntactic information is captured in BERT 's attention .""]",0,0,7,0,7,,,,,https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Abstract,6,"Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in BERT's attention.","['Lastly,', 'we', 'propose', 'an', 'attention-based', 'probing', 'classifier', 'and', 'use', 'it', 'to', 'further', 'demonstrate', 'that', 'substantial', 'syntactic', 'information', 'is', 'captured', 'in', ""BERT's"", 'attention.']",,,
20,,Transformers,: State-of-the-art Natural Language Processing .,NP,"['NP', ':', 'NP', '.']",Transformers State the art Natural Language Processing,1.0,0.0,65.0,0.0,65.0,"[(0, 12), (15, 20), (28, 31), (34, 37), (38, 45), (46, 54), (55, 65)]",,,,,,,[],"['Transformers', 'State', 'the', 'art', 'Natural', 'Language', 'Processing']",[],,,,,,,,,,Transformers,Transformers,[],[': State - of - the - art Natural Language Processing'],1,0,13,0,13,,State-of-the-art,['NOUN'],['Transformers'],https://www.semanticscholar.org/paper/Transformers%3A-State-of-the-art-Natural-Language-Wolf-Debut/af3f67b6639a50fd094e1467a2f3b6b8fef7c7c2,1,Title,0,Transformers: State-of-the-art Natural Language Processing.,"['Transformers', ':', 'State-of-the-art', 'Natural', 'Language', 'Processing', '.']","(0, 1)","(0, 12)",0.0
21,,Transfer learning,has fundamentally changed the landscape of natural language processing ( NLP ) research .,S,"['NP', 'VP', '.']",Transfer learning,1.0,0.0,17.0,0.0,17.0,"[(0, 8), (9, 17)]",has changed,2.0,18.0,43.0,0.0,25.0,"[(18, 21), (36, 43)]","['Transfer', 'learning']","['has', 'changed']",has changed,[],"['the landscape of natural language processing ( NLP ) research', '.']",1.0,2.0,18.0,44.0,0.0,26.0,changed,has changed,[],"['the landscape of natural language processing ( NLP ) research', '.']",2,18,44,0,26,has,has,"['NOUN', 'ADV', 'VERB']","['Transfer', 'fundamentally', 'changed']",https://www.semanticscholar.org/paper/SMART%3A-Robust-and-Efficient-Fine-Tuning-for-Natural-Jiang-He/7234b6be1573b3e552b7a54b46452599ff869a94,2,Abstract,0,Transfer learning has fundamentally changed the landscape of natural language processing (NLP) research.,"['Transfer', 'learning', 'has', 'fundamentally', 'changed', 'the', 'landscape', 'of', 'natural', 'language', 'processing', '(', 'NLP', ')', 'research', '.']","(0, 2)","(0, 17)",0.0
22,,Transfer,learning has fundamentally changed the landscape of natural language processing ( NLP ) research .,S,"['NP', 'VP', '.']",Transfer learning,1.0,0.0,17.0,0.0,17.0,"[(0, 8), (9, 17)]",has changed,2.0,18.0,43.0,9.0,34.0,"[(18, 21), (36, 43)]","['Transfer', 'learning']","['has', 'changed']",has changed,[],"['the landscape of natural language processing ( NLP ) research', '.']",1.0,2.0,18.0,44.0,9.0,35.0,changed,has changed,[],"['the landscape of natural language processing ( NLP ) research', '.']",2,18,44,9,35,has,learning,"['NOUN', 'ADV', 'VERB']","['Transfer', 'fundamentally', 'changed']",https://www.semanticscholar.org/paper/SMART%3A-Robust-and-Efficient-Fine-Tuning-for-Natural-Jiang-He/7234b6be1573b3e552b7a54b46452599ff869a94,2,Abstract,0,Transfer learning has fundamentally changed the landscape of natural language processing (NLP) research.,"['Transfer', 'learning', 'has', 'fundamentally', 'changed', 'the', 'landscape', 'of', 'natural', 'language', 'processing', '(', 'NLP', ')', 'research', '.']","(0, 1)","(0, 8)",0.0
23,Many existing state-of-the-art models are first pre-trained on a large text corpus and then fine-tuned on downstream tasks.,,,S,"['NP', 'VP', '.']",Many state art models,0.0,0.0,43.0,0.0,43.0,"[(0, 4), (14, 19), (33, 36), (37, 43)]",are - trained and,0.0,44.0,94.0,44.0,94.0,"[(44, 47), (58, 59), (60, 67), (91, 94)]","['Many', 'state', 'art', 'models']","['are', '-', 'trained']",,,,,,,,,,pre,are pre,['Many existing state - of - the - art models first .'],['trained on a large text corpus and then fine - tuned on downstream tasks'],0,44,58,44,58,,,,,https://www.semanticscholar.org/paper/SMART%3A-Robust-and-Efficient-Fine-Tuning-for-Natural-Jiang-He/7234b6be1573b3e552b7a54b46452599ff869a94,2,Abstract,1,Many existing state-of-the-art models are first pre-trained on a large text corpus and then fine-tuned on downstream tasks.,"['Many', 'existing', 'state-of-the-art', 'models', 'are', 'first', 'pre-trained', 'on', 'a', 'large', 'text', 'corpus', 'and', 'then', 'fine-tuned', 'on', 'downstream', 'tasks.']",,,
