,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_subj_allspans,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_verb_allspans,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
10,"Despite all of this interest, there is no work that systematically defines what reading comprehension is.",,,S,"['PP', ',', 'NP', 'VP', '.']",,,,,,,[],is,0.0,37.0,39.0,37.0,39.0,"[(37, 39)]",[],['is'],,,,,,,,,,is,is,"['no work that systematically defines what reading comprehension is', 'Despite all of this interest']",['.'],0,37,40,37,40,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,2,"Despite all of this interest, there is no work that systematically defines what reading comprehension is.","['Despite', 'all', 'of', 'this', 'interest,', 'there', 'is', 'no', 'work', 'that', 'systematically', 'defines', 'what', 'reading', 'comprehension', 'is.']",,,
11,"In this work, we justify a question answering approach to reading comprehension and describe the various kinds of questions one might use to more fully test a system’s comprehension of a passage, moving beyond questions that only probe local predicate-argument structures.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,"[(15, 17)]",justify and describe,0.0,18.0,93.0,18.0,93.0,"[(18, 25), (81, 84), (85, 93)]",['we'],"['justify', 'describe']",,,,,,,,,,justify,justify,"[',', 'we']","['a question answering approach to reading comprehension and describe the various kinds of questions one might use to more fully test a system ’s comprehension of a passage , moving beyond questions that only probe local predicate - argument structures']",0,18,26,18,26,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,3,"In this work, we justify a question answering approach to reading comprehension and describe the various kinds of questions one might use to more fully test a system’s comprehension of a passage, moving beyond questions that only probe local predicate-argument structures.","['In', 'this', 'work,', 'we', 'justify', 'a', 'question', 'answering', 'approach', 'to', 'reading', 'comprehension', 'and', 'describe', 'the', 'various', 'kinds', 'of', 'questions', 'one', 'might', 'use', 'to', 'more', 'fully', 'test', 'a', 'system’s', 'comprehension', 'of', 'a', 'passage,', 'moving', 'beyond', 'questions', 'that', 'only', 'probe', 'local', 'predicate-argument', 'structures.']",,,
12,The main pitfall of this approach is that questions can easily have surface cues or other biases that allow a model to shortcut the intended reasoning process.,,,S,"['NP', 'VP', '.']",The main pitfall,0.0,0.0,16.0,0.0,16.0,"[(0, 3), (4, 8), (9, 16)]",is,0.0,34.0,36.0,34.0,36.0,"[(34, 36)]","['The', 'main', 'pitfall']",['is'],,,,,,,,,,is,is,['The main pitfall of this approach'],['that questions can easily have surface cues or other biases that allow a model to shortcut the intended reasoning process'],0,34,37,34,37,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,4,The main pitfall of this approach is that questions can easily have surface cues or other biases that allow a model to shortcut the intended reasoning process.,"['The', 'main', 'pitfall', 'of', 'this', 'approach', 'is', 'that', 'questions', 'can', 'easily', 'have', 'surface', 'cues', 'or', 'other', 'biases', 'that', 'allow', 'a', 'model', 'to', 'shortcut', 'the', 'intended', 'reasoning', 'process.']",,,
13,"We discuss ways proposed in current literature to mitigate these shortcuts, and we conclude with recommendations for future dataset collection efforts.",,,S,"['S', ',', 'CC', 'S', '.']",,,,,,,[],and,0.0,77.0,80.0,77.0,80.0,"[(77, 80)]","['We', 'we']","['discuss', 'conclude']",,,,,,,,,,discuss,discuss,['We'],"['ways proposed in current literature to mitigate these shortcuts ,', 'and we conclude with recommendations for future dataset collection efforts']",0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,5,"We discuss ways proposed in current literature to mitigate these shortcuts, and we conclude with recommendations for future dataset collection efforts.","['We', 'discuss', 'ways', 'proposed', 'in', 'current', 'literature', 'to', 'mitigate', 'these', 'shortcuts,', 'and', 'we', 'conclude', 'with', 'recommendations', 'for', 'future', 'dataset', 'collection', 'efforts.']",,,
14,On Making Reading Comprehension More Comprehensive.,,,PP,"['PP', '.']",,,,,,,[],,,,,,,[],[],[],,,,,,,,,,Reading,Reading,[],['Comprehension More Comprehensive .'],0,10,18,10,18,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Title,0,On Making Reading Comprehension More Comprehensive.,"['On', 'Making', 'Reading', 'Comprehension', 'More', 'Comprehensive.']",,,
15,Recent powerful pre-trained language models have achieved remarkable performance on most of the popular datasets for reading comprehension.,,,S,"['NP', 'VP', '.']",Recent powerful pre - trained language models,0.0,0.0,45.0,0.0,45.0,"[(0, 6), (7, 15), (16, 19), (20, 21), (22, 29), (30, 38), (39, 45)]",have achieved,0.0,46.0,59.0,46.0,59.0,"[(46, 50), (51, 59)]","['Recent', 'powerful', 'pre', '-', 'trained', 'language', 'models']","['have', 'achieved']",,,,,,,,,,achieved,have achieved,['Recent powerful pre - trained language models'],['remarkable performance on most of the popular datasets for reading comprehension'],0,46,60,46,60,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,0,Recent powerful pre-trained language models have achieved remarkable performance on most of the popular datasets for reading comprehension.,"['Recent', 'powerful', 'pre-trained', 'language', 'models', 'have', 'achieved', 'remarkable', 'performance', 'on', 'most', 'of', 'the', 'popular', 'datasets', 'for', 'reading', 'comprehension.']",,,
16,It is time to introduce more challenging datasets to push the development of this field towards more comprehensive reasoning of text.,,,S,"['NP', 'VP', '.']",It,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",is,0.0,3.0,5.0,3.0,5.0,"[(3, 5)]",['It'],['is'],,,,,,,,,,time,is time,['It'],['to introduce more challenging datasets to push the development of this field towards more comprehensive reasoning of text'],0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,1,It is time to introduce more challenging datasets to push the development of this field towards more comprehensive reasoning of text.,"['It', 'is', 'time', 'to', 'introduce', 'more', 'challenging', 'datasets', 'to', 'push', 'the', 'development', 'of', 'this', 'field', 'towards', 'more', 'comprehensive', 'reasoning', 'of', 'text.']",,,
17,"In this paper, we introduce a new Reading Comprehension dataset requiring logical reasoning (ReClor) extracted from standardized graduate admission examinations.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,"[(16, 18)]",introduce,0.0,19.0,28.0,19.0,28.0,"[(19, 28)]",['we'],['introduce'],,,,,,,,,,introduce,introduce,"[',', 'we']","['a new Reading Comprehension dataset', 'requiring', 'logical reasoning ( ReClor ) extracted from standardized graduate admission examinations .']",0,19,29,19,29,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,2,"In this paper, we introduce a new Reading Comprehension dataset requiring logical reasoning (ReClor) extracted from standardized graduate admission examinations.","['In', 'this', 'paper,', 'we', 'introduce', 'a', 'new', 'Reading', 'Comprehension', 'dataset', 'requiring', 'logical', 'reasoning', '(ReClor)', 'extracted', 'from', 'standardized', 'graduate', 'admission', 'examinations.']",,,
18,"As earlier studies suggest, human-annotated datasets usually contain biases, which are often exploited by models to achieve high accuracy without truly understanding the text.",,,S,"['SBAR', ',', 'NP', 'ADVP', 'VP', '.']",human datasets,0.0,29.0,55.0,29.0,55.0,"[(29, 34), (47, 55)]",contain,0.0,64.0,71.0,64.0,71.0,"[(64, 71)]","['human', 'datasets']",['contain'],,,,,,,,,,studies,studies,[],['human - annotated datasets'],0,11,19,11,19,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,3,"As earlier studies suggest, human-annotated datasets usually contain biases, which are often exploited by models to achieve high accuracy without truly understanding the text.","['As', 'earlier', 'studies', 'suggest,', 'human-annotated', 'datasets', 'usually', 'contain', 'biases,', 'which', 'are', 'often', 'exploited', 'by', 'models', 'to', 'achieve', 'high', 'accuracy', 'without', 'truly', 'understanding', 'the', 'text.']",,,
19,"In order to comprehensively evaluate the logical reasoning ability of models on ReClor, we propose to identify biased data points and separate them into EASY set while the rest as HARD set.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,89.0,91.0,89.0,91.0,"[(89, 91)]",propose,0.0,92.0,99.0,92.0,99.0,"[(92, 99)]",['we'],"['propose', 'identify', 'separate']",,,,,,,,,,propose,propose,"[',', 'we']",[],0,92,100,92,100,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,4,"In order to comprehensively evaluate the logical reasoning ability of models on ReClor, we propose to identify biased data points and separate them into EASY set while the rest as HARD set.","['In', 'order', 'to', 'comprehensively', 'evaluate', 'the', 'logical', 'reasoning', 'ability', 'of', 'models', 'on', 'ReClor,', 'we', 'propose', 'to', 'identify', 'biased', 'data', 'points', 'and', 'separate', 'them', 'into', 'EASY', 'set', 'while', 'the', 'rest', 'as', 'HARD', 'set.']",,,
20,Empirical results show that the state-of-the-art models have an outstanding ability to capture biases contained in the dataset with high accuracy on EASY set.,,,S,"['NP', 'VP', '.']",Empirical results,0.0,0.0,17.0,0.0,17.0,"[(0, 9), (10, 17)]",show,0.0,18.0,22.0,18.0,22.0,"[(18, 22)]","['Empirical', 'results']",['show'],,,,,,,,,,results,results,['Empirical'],['show that the state - of - the - art models have an outstanding ability to capture biases contained in the dataset with high accuracy on EASY set'],0,10,18,10,18,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,5,Empirical results show that the state-of-the-art models have an outstanding ability to capture biases contained in the dataset with high accuracy on EASY set.,"['Empirical', 'results', 'show', 'that', 'the', 'state-of-the-art', 'models', 'have', 'an', 'outstanding', 'ability', 'to', 'capture', 'biases', 'contained', 'in', 'the', 'dataset', 'with', 'high', 'accuracy', 'on', 'EASY', 'set.']",,,
21,"However, they struggle on HARD set with poor performance near that of random guess, indicating more research is needed to essentially enhance the logical reasoning ability of current models.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",they,0.0,10.0,14.0,10.0,14.0,"[(10, 14)]",struggle,0.0,15.0,23.0,15.0,23.0,"[(15, 23)]",['they'],"['struggle', 'indicating']",,,,,,,,,,struggle,struggle,"['However', ',', 'they']",[],0,15,24,15,24,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Abstract,6,"However, they struggle on HARD set with poor performance near that of random guess, indicating more research is needed to essentially enhance the logical reasoning ability of current models.","['However,', 'they', 'struggle', 'on', 'HARD', 'set', 'with', 'poor', 'performance', 'near', 'that', 'of', 'random', 'guess,', 'indicating', 'more', 'research', 'is', 'needed', 'to', 'essentially', 'enhance', 'the', 'logical', 'reasoning', 'ability', 'of', 'current', 'models.']",,,
22,ReClor: A Reading Comprehension Dataset Requiring Logical Reasoning.,,,NP,"['NP', ':', 'NP', '.']",ReClor A Reading Comprehension Dataset,0.0,0.0,40.0,0.0,40.0,"[(0, 6), (9, 10), (11, 18), (19, 32), (33, 40)]",,,,,,,[],"['ReClor', 'A', 'Reading', 'Comprehension', 'Dataset']",[],,,,,,,,,,ReClor,ReClor,[],"[':', 'A Reading Comprehension Dataset Requiring Logical Reasoning .']",0,0,7,0,7,,,,,https://www.semanticscholar.org/paper/ReClor%3A-A-Reading-Comprehension-Dataset-Requiring-Yu-Jiang/02ab4f8c51bfce8e723f98ad92410c67e7811a4b,2,Title,0,ReClor: A Reading Comprehension Dataset Requiring Logical Reasoning.,"['ReClor:', 'A', 'Reading', 'Comprehension', 'Dataset', 'Requiring', 'Logical', 'Reasoning.']",,,
23,"With models reaching human performance on many popular reading comprehension datasets in recent years ,","a new dataset , DROP ,",introduced questions that were expected to present a harder challenge for reading comprehension models .,S,"['PP', ',', 'NP', 'VP', '.']",a new dataset DROP,1.0,104.0,124.0,0.0,20.0,"[(104, 105), (106, 109), (110, 117), (120, 124)]",introduced,2.0,127.0,137.0,0.0,10.0,"[(127, 137)]","['a', 'new', 'dataset', 'DROP']",['introduced'],introduced,"['a', 'new dataset , DROP ,']",[],0.0,2.0,127.0,138.0,0.0,11.0,present,present,"['With models reaching human performance on many popular reading comprehension datasets in recent years , a new dataset , DROP , introduced questions that were expected', 'to']",['a harder challenge for reading comprehension models .'],2,170,178,43,51,introduced,introduced,"['VERB', 'NOUN', 'AUX']","['introduced', 'questions', 'were']",https://www.semanticscholar.org/paper/Tag-based-Multi-Span-Extraction-in-Reading-Efrat-Segal/8dc72cda1b37e4baa319ff4a9cfc8ad11214eb77,3,Abstract,0,"With models reaching human performance on many popular reading comprehension datasets in recent years, a new dataset, DROP, introduced questions that were expected to present a harder challenge for reading comprehension models.","['With', 'models', 'reaching', 'human', 'performance', 'on', 'many', 'popular', 'reading', 'comprehension', 'datasets', 'in', 'recent', 'years', ',', 'a', 'new', 'dataset', ',', 'DROP', ',', 'introduced', 'questions', 'that', 'were', 'expected', 'to', 'present', 'a', 'harder', 'challenge', 'for', 'reading', 'comprehension', 'models', '.']","(15, 21)","(103, 125)",16.0
24,"Among these new types of questions were ""multi-span questions"", questions whose answers consist of several spans from either the paragraph or the question itself.",,,SINV,"['PP', 'VP', '.']",,,,,,,[],were,0.0,35.0,39.0,35.0,39.0,"[(35, 39)]",[],['were'],,,,,,,,,,were,were,"['Among', 'these new types of questions', '"" questions "" , questions whose answers consist of several spans from either the paragraph or the question itself', 'multi - span']",['.'],0,35,40,35,40,,,,,https://www.semanticscholar.org/paper/Tag-based-Multi-Span-Extraction-in-Reading-Efrat-Segal/8dc72cda1b37e4baa319ff4a9cfc8ad11214eb77,3,Abstract,1,"Among these new types of questions were ""multi-span questions"", questions whose answers consist of several spans from either the paragraph or the question itself.","['Among', 'these', 'new', 'types', 'of', 'questions', 'were', '""multi-span', 'questions"",', 'questions', 'whose', 'answers', 'consist', 'of', 'several', 'spans', 'from', 'either', 'the', 'paragraph', 'or', 'the', 'question', 'itself.']",,,
25,"Until now, only one model attempted to tackle multi-span questions as a part of its design.",,,S,"['PP', ',', 'NP', 'VP', '.']",model,0.0,21.0,26.0,21.0,26.0,"[(21, 26)]",attempted,0.0,27.0,36.0,27.0,36.0,"[(27, 36)]",['model'],"['attempted', 'tackle']",,,,,,,,,,model,model,['only one'],"['Until now , attempted to tackle .', 'multi - span questions as a part of its design']",0,21,27,21,27,,,,,https://www.semanticscholar.org/paper/Tag-based-Multi-Span-Extraction-in-Reading-Efrat-Segal/8dc72cda1b37e4baa319ff4a9cfc8ad11214eb77,3,Abstract,2,"Until now, only one model attempted to tackle multi-span questions as a part of its design.","['Until', 'now,', 'only', 'one', 'model', 'attempted', 'to', 'tackle', 'multi-span', 'questions', 'as', 'a', 'part', 'of', 'its', 'design.']",,,
