,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,order_cluster
10,"We find that BERT was significantly undertrained , and can match or exceed the performance of every model published after",it,.,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,find,0.0,3.0,7.0,3.0,7.0,['We'],['find'],published,[],[],-1.0,0.0,106.0,116.0,106.0,116.0,We,We,[],"['find that BERT was significantly undertrained , and can match or exceed the performance of every model published after it .']",0,0,3,0,3,,,"['PRON', 'ADP', 'VERB']","['it', 'after', 'published']",https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,3,"We find that BERT was significantly undertrained, and can match or exceed the performance of every model published after it.","['We', 'find', 'that', 'BERT', 'was', 'significantly', 'undertrained', ',', 'and', 'can', 'match', 'or', 'exceed', 'the', 'performance', 'of', 'every', 'model', 'published', 'after', 'it', '.']","(20, 21)","(121, 123)",-1.0,86.0
11,"Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD.",,,S,"['NP', 'VP', '.']",best model,0.0,4.0,14.0,4.0,14.0,achieves,0.0,15.0,23.0,15.0,23.0,"['best', 'model']",['achieves'],,,,,,,,,,of,of,['-'],"['Our best model achieves state - the - art results on GLUE , RACE and SQuAD .']",0,32,35,32,35,,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,4,"Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD.","['Our', 'best', 'model', 'achieves', 'state-of-the-art', 'results', 'on', 'GLUE,', 'RACE', 'and', 'SQuAD.']",,,,147.0
12,"These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements.",,,S,"['NP', 'VP', '.']",These results,0.0,0.0,13.0,0.0,13.0,highlight and raise,0.0,14.0,90.0,14.0,90.0,"['These', 'results']","['highlight', 'raise']",,,,,,,,,,These,These,[],"['results highlight the importance of previously overlooked design choices , and raise questions about the source of recently reported improvements .']",0,0,6,0,6,,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,5,"These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements.","['These', 'results', 'highlight', 'the', 'importance', 'of', 'previously', 'overlooked', 'design', 'choices,', 'and', 'raise', 'questions', 'about', 'the', 'source', 'of', 'recently', 'reported', 'improvements.']",,,,105.0
13,We release our models and code.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,release,0.0,3.0,10.0,3.0,10.0,['We'],['release'],,,,,,,,,,release,release,['We'],"['our models and', 'code', '.']",0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,6,We release our models and code.,"['We', 'release', 'our', 'models', 'and', 'code.']",,,,85.0
14,,RoBERTa,: A Robustly Optimized BERT Pretraining Approach .,NP,"['NP', ':', 'NP', '.']",RoBERTa A BERT Approach,1.0,0.0,56.0,0.0,56.0,,,,,,,"['RoBERTa', 'A', 'BERT', 'Approach']",[],,,,,,,,,,RoBERTa,RoBERTa,[],[': A Robustly Optimized BERT Pretraining Approach .'],1,0,8,0,8,,A,['PROPN'],['RoBERTa'],https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Title,0,RoBERTa: A Robustly Optimized BERT Pretraining Approach.,"['RoBERTa', ':', 'A', 'Robustly', 'Optimized', 'BERT', 'Pretraining', 'Approach', '.']","(0, 1)","(0, 7)",2.0,197.0
15,"As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging.",,,S,"['SBAR', ',', 'S', 'VP', '.']",,,,,,,remains,0.0,242.0,249.0,242.0,249.0,[],"['operating', 'remains']",,,,,,,,,,prevalent,becomes prevalent,['As Transfer Learning from large - scale pre - trained models'],[],0,61,84,61,84,,,,,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,0,"As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging.","['As', 'Transfer', 'Learning', 'from', 'large-scale', 'pre-trained', 'models', 'becomes', 'more', 'prevalent', 'in', 'Natural', 'Language', 'Processing', '(NLP),', 'operating', 'these', 'large', 'models', 'in', 'on-the-edge', 'and/or', 'under', 'constrained', 'computational', 'training', 'or', 'inference', 'budgets', 'remains', 'challenging.']",,,,
16,"In this work , we propose a method to pre-train a smaller general-purpose language representation model , called",DistilBERT,", which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts .",S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,propose,0.0,18.0,25.0,18.0,25.0,['we'],['propose'],called,[],"['DistilBERT', ',']",-1.0,0.0,110.0,117.0,110.0,117.0,propose,propose,"[',', 'we']","['a method to pre - train a smaller general - purpose language representation model , called DistilBERT ,', 'which can then be fine - tuned with good performances on a wide range of tasks like its larger counterparts .']",0,18,26,18,26,be,which,"['NUM', 'VERB', 'NOUN']","['DistilBERT', 'called', 'model']",https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,1,"In this work, we propose a method to pre-train a smaller general-purpose language representation model, called DistilBERT, which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts.","['In', 'this', 'work', ',', 'we', 'propose', 'a', 'method', 'to', 'pre-train', 'a', 'smaller', 'general-purpose', 'language', 'representation', 'model', ',', 'called', 'DistilBERT', ',', 'which', 'can', 'then', 'be', 'fine-tuned', 'with', 'good', 'performances', 'on', 'a', 'wide', 'range', 'of', 'tasks', 'like', 'its', 'larger', 'counterparts', '.']","(18, 19)","(112, 122)",6.0,44.0
17,"While most prior work investigated the use of distillation for building task - specific models , we leverage knowledge distillation during the pre - training phase and show that it is possible to reduce the size of",a BERT model,"by 40 % , while retaining 97 % of its language understanding capabilities and being 60 % faster .",S,"['IN', 'S', ',', 'S', 'CC', 'VP', '.']",,,,,,,and show,0.0,164.0,172.0,164.0,172.0,"['most', 'prior', 'work', 'we']","['investigated', 'building', 'leverage', 'show']",to reduce,[],"['we leverage knowledge distillation during phase', 'the size of a BERT model']",-1.0,0.0,193.0,203.0,193.0,203.0,show,show,[],[],0,168,173,168,173,retaining,by,"['NOUN', 'ADP', 'NOUN']","['model', 'of', 'size']",https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,2,"While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a BERT model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster.","['While', 'most', 'prior', 'work', 'investigated', 'the', 'use', 'of', 'distillation', 'for', 'building', 'task', '-', 'specific', 'models', ',', 'we', 'leverage', 'knowledge', 'distillation', 'during', 'the', 'pre', '-', 'training', 'phase', 'and', 'show', 'that', 'it', 'is', 'possible', 'to', 'reduce', 'the', 'size', 'of', 'a', 'BERT', 'model', 'by', '40', '%', ',', 'while', 'retaining', '97', '%', 'of', 'its', 'language', 'understanding', 'capabilities', 'and', 'being', '60', '%', 'faster', '.']","(37, 40)","(214, 226)",2.0,
18,"While most prior work investigated the use of distillation for building task - specific models , we leverage knowledge distillation during the pre - training phase and show that it is possible to reduce the size of a BERT model by 40 % , while retaining 97 % of",its,language understanding capabilities and being 60 % faster .,S,"['IN', 'S', ',', 'S', 'CC', 'VP', '.']",,,,,,,and show,0.0,164.0,172.0,164.0,172.0,"['most', 'prior', 'work', 'we']","['investigated', 'building', 'leverage', 'show']",retaining,[],['97 % of its language understanding capabilities and being 60 % faster .'],-1.0,0.0,244.0,254.0,244.0,254.0,show,show,[],[],0,168,173,168,173,being,language,"['DET', 'NOUN', 'ADP']","['its', 'capabilities', 'of']",https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,2,"While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a BERT model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster.","['While', 'most', 'prior', 'work', 'investigated', 'the', 'use', 'of', 'distillation', 'for', 'building', 'task', '-', 'specific', 'models', ',', 'we', 'leverage', 'knowledge', 'distillation', 'during', 'the', 'pre', '-', 'training', 'phase', 'and', 'show', 'that', 'it', 'is', 'possible', 'to', 'reduce', 'the', 'size', 'of', 'a', 'BERT', 'model', 'by', '40', '%', ',', 'while', 'retaining', '97', '%', 'of', 'its', 'language', 'understanding', 'capabilities', 'and', 'being', '60', '%', 'faster', '.']","(49, 50)","(261, 264)",-1.0,
19,"To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses.",,,S,"['S', ',', 'NP', 'VP', '.']",we,0.0,82.0,84.0,82.0,84.0,introduce,0.0,85.0,94.0,85.0,94.0,['we'],"['leverage', 'introduce']",,,,,,,,,,introduce,introduce,"['To leverage the inductive biases learned by larger models during pre - training', 'we']","['a triple loss combining language modeling , distillation and cosine - distance losses']",0,85,95,85,95,,,,,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,3,"To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses.","['To', 'leverage', 'the', 'inductive', 'biases', 'learned', 'by', 'larger', 'models', 'during', 'pre-training,', 'we', 'introduce', 'a', 'triple', 'loss', 'combining', 'language', 'modeling,', 'distillation', 'and', 'cosine-distance', 'losses.']",,,,45.0
20,"Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.",,,S,"['S', 'CC', 'S', '.']",,,,,,,and,0.0,65.0,68.0,65.0,68.0,"['model', 'we']","['is', 'train', 'demonstrate']",,,,,,,,,,cheaper,is cheaper,"['Our smaller , faster and lighter model']",['pre -'],0,39,50,39,50,,,,,https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Abstract,4,"Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.","['Our', 'smaller,', 'faster', 'and', 'lighter', 'model', 'is', 'cheaper', 'to', 'pre-train', 'and', 'we', 'demonstrate', 'its', 'capabilities', 'for', 'on-device', 'computations', 'in', 'a', 'proof-of-concept', 'experiment', 'and', 'a', 'comparative', 'on-device', 'study.']",,,,
21,,DistilBERT,", a distilled version of BERT : smaller , faster , cheaper and lighter .",NP,"['NP', ',', 'NP', '.']",a distilled version,2.0,13.0,32.0,2.0,21.0,,,,,,,"['a', 'distilled', 'version']",[],,,,,,,,,,DistilBERT,DistilBERT,[],['.'],1,0,11,0,11,,a,['NUM'],['DistilBERT'],https://www.semanticscholar.org/paper/DistilBERT%2C-a-distilled-version-of-BERT%3A-smaller%2C-Sanh-Debut/9df8a296b4f414dfea1997d6662b812c9d626c38,2,Title,0,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter.","['DistilBERT', ',', 'a', 'distilled', 'version', 'of', 'BERT', ':', 'smaller', ',', 'faster', ',', 'cheaper', 'and', 'lighter', '.']","(0, 1)","(0, 10)",6.0,137.0
22,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks.,,,S,"['NP', 'VP', '.']",Pre - trained text encoders,0.0,0.0,27.0,0.0,27.0,have advanced,0.0,28.0,49.0,28.0,49.0,"['Pre', '-', 'trained', 'text', 'encoders']","['have', 'advanced']",,,,,,,,,,advanced,advanced,['Pre - trained text encoders have rapidly .'],['the state of the art'],0,41,50,41,50,,,,,https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,0,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks.,"['Pre-trained', 'text', 'encoders', 'have', 'rapidly', 'advanced', 'the', 'state', 'of', 'the', 'art', 'on', 'many', 'NLP', 'tasks.']",,,,167.0
23,We focus on,"one such model , BERT",", and aim to quantify where linguistic information is captured within the network .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,focus and aim,0.0,3.0,43.0,3.0,43.0,['We'],"['focus', 'aim', 'quantify']",focus,['We'],[],-1.0,0.0,3.0,9.0,3.0,9.0,captured,is captured,[],[],2,85,97,51,63,quantify,and,"['NOUN', 'ADP', 'VERB']","['model', 'on', 'focus']",https://www.semanticscholar.org/paper/BERT-Rediscovers-the-Classical-NLP-Pipeline-Tenney-Das/97906df07855b029b7aae7c2a1c6c5e8df1d531c,3,Abstract,1,"We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network.","['We', 'focus', 'on', 'one', 'such', 'model', ',', 'BERT', ',', 'and', 'aim', 'to', 'quantify', 'where', 'linguistic', 'information', 'is', 'captured', 'within', 'the', 'network', '.']","(3, 8)","(11, 32)",17.0,84.0
