,src,alignsegments,aligntypes,alignctypes
121,untreated primary hypothyroidism,['untreated primary hypothyroidism'],['NP'],"[['JJ', 'JJ', 'NN']]"
127,healthy volunteers,['healthy volunteers'],['NP'],"[['JJ', 'NNS']]"
131,healthy volunteers,['healthy volunteers'],['NP'],"[['JJ', 'NNS']]"
137,healthy controls,['healthy controls'],['NP'],"[['JJ', 'NNS']]"
146,The patients with hypothyroidism,"['The patients', 'with', 'hypothyroidism']","['NP', 'PP', 'NP']","[['DT', 'NNS'], ['IN'], ['NN']]"
150,patients with hypothyroidism,"['patients', 'with', 'hypothyroidism']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN']]"
168,normal subjects and in patients with primary hypothyroidism,"['normal subjects and', 'in', 'patients', 'with', 'primary hypothyroidism']","['NP', 'PP', 'NP', 'PP', 'NP']","[['JJ', 'NNS', 'CC'], ['IN'], ['NNS'], ['IN'], ['JJ', 'NN']]"
174,normal subjects and in patients with primary hypothyroidism,"['normal subjects and', 'in', 'patients', 'with', 'primary hypothyroidism']","['NP', 'PP', 'NP', 'PP', 'NP']","[['JJ', 'NNS', 'CC'], ['IN'], ['NNS'], ['IN'], ['JJ', 'NN']]"
179,healthy volunteers and in patients with primary hypothyroidism .,"['healthy volunteers', 'and', 'in', 'patients', 'with', 'primary hypothyroidism', '.']","['NP', 'FRAG', 'PP', 'NP', 'PP', 'NP', 'FRAG']","[['JJ', 'NNS'], ['CC'], ['IN'], ['NNS'], ['IN'], ['JJ', 'NN'], ['.']]"
182,healthy volunteers and in patients with primary hypothyroidism .,"['healthy volunteers', 'and', 'in', 'patients', 'with', 'primary hypothyroidism', '.']","['NP', 'FRAG', 'PP', 'NP', 'PP', 'NP', 'FRAG']","[['JJ', 'NNS'], ['CC'], ['IN'], ['NNS'], ['IN'], ['JJ', 'NN'], ['.']]"
194,"36 premenopausal women , 20 of whom used OC .","['36 premenopausal women , 20', 'of', 'whom', 'used', 'OC .']","['NP', 'WHPP', 'WHNP', 'VP', 'NP']","[['CD', 'NN', 'NNS', ',', 'CD'], ['IN'], ['WP'], ['VBD'], ['NNP', '.']]"
196,36 premenopausal women,['36 premenopausal women'],['NP'],"[['CD', 'NN', 'NNS']]"
197,20,['20'],['NP'],[['CD']]
198,used OC,"['used', 'OC']","['VP', 'NP']","[['VBN'], ['NNP']]"
211,premenopausal OC or non-OC users .,['premenopausal OC or non - OC users .'],['NP'],"[['VB', 'JJ', 'CC', 'JJ', 'JJ', 'JJ', 'NNS', '.']]"
214,premenopausal OC,['premenopausal OC'],['NP'],"[['VB', 'NNP']]"
215,non-OC users .,['non - OC users .'],['NP'],"[['JJ', 'JJ', 'JJ', 'NNS', '.']]"
218,premenopausal women .,['premenopausal women .'],['NP'],"[['JJ', 'NNS', '.']]"
221,premenopausal women .,['premenopausal women .'],['NP'],"[['JJ', 'NNS', '.']]"
229,during supportive periodontal therapy .,"['during', 'supportive periodontal therapy', '.']","['PP', 'NP', 'FRAG']","[['IN'], ['JJ', 'JJ', 'NN'], ['.']]"
235,40 subjects,['40 subjects'],['NP'],"[['CD', 'NNS']]"
236,40 subjects,['40 subjects'],['NP'],"[['CD', 'NNS']]"
238,20,['20'],['NP'],[['CD']]
241,20,['20'],['NP'],[['CD']]
257,supportive periodontal therapy ( SPT ) .,['supportive periodontal therapy ( SPT ) .'],['NP'],"[['JJ', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
273,61 inpatients with the diagnosis Rhinitis following nasal operation,"['61 inpatients', 'with', 'the diagnosis Rhinitis', 'following', 'nasal operation']","['NP', 'PP', 'NP', 'VP', 'NP']","[['CD', 'NNS'], ['IN'], ['DT', 'NN', 'NNP'], ['VBG'], ['NN', 'NN']]"
276,61 inpatients with the diagnosis Rhinitis following nasal operation,"['61 inpatients', 'with', 'the diagnosis Rhinitis', 'following', 'nasal operation']","['NP', 'PP', 'NP', 'VP', 'NP']","[['CD', 'NNS'], ['IN'], ['DT', 'NN', 'NNP'], ['VBG'], ['NN', 'NN']]"
294,patients following nasal operations,"['patients', 'following', 'nasal operations']","['NP', 'VP', 'NP']","[['NNS'], ['VBG'], ['NN', 'NNS']]"
297,patients following nasal operations,"['patients', 'following', 'nasal operations']","['NP', 'VP', 'NP']","[['NNS'], ['VBG'], ['NN', 'NNS']]"
302,rhinitis following nasal operation,"['rhinitis', 'following', 'nasal operation']","['NP', 'VP', 'NP']","[['NNP'], ['VBG'], ['NN', 'NN']]"
305,rhinitis following nasal operation,"['rhinitis', 'following', 'nasal operation']","['NP', 'VP', 'NP']","[['NNP'], ['VBG'], ['NN', 'NN']]"
308,after nose surgery,"['after', 'nose surgery']","['PP', 'NP']","[['IN'], ['NN', 'NN']]"
312,after nose surgery,"['after', 'nose surgery']","['PP', 'NP']","[['IN'], ['NN', 'NN']]"
316,patients who underwent hysterectomy .,"['patients', 'who', 'underwent', 'hysterectomy .']","['NP', 'WHNP', 'VP', 'NP']","[['NNS'], ['WP'], ['VBD'], ['NN', '.']]"
319,underwent hysterectomy,"['underwent', 'hysterectomy']","['VP', 'NP']","[['JJ'], ['NN']]"
322,Forty patients were divided into four groups of ten .,"['Forty patients', 'were', 'divided', 'into', 'four groups', 'of', 'ten', '.']","['NP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'S']","[['CD', 'NNS'], ['VBD'], ['VBN'], ['IN'], ['CD', 'NNS'], ['IN'], ['CD'], ['.']]"
323,Forty patients were divided into four groups of ten .,"['Forty patients', 'were', 'divided', 'into', 'four groups', 'of', 'ten', '.']","['NP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'S']","[['CD', 'NNS'], ['VBD'], ['VBN'], ['IN'], ['CD', 'NNS'], ['IN'], ['CD'], ['.']]"
348,abdominal surgery .,['abdominal surgery .'],['NP'],"[['JJ', 'NN', '.']]"
351,abdominal surgery .,['abdominal surgery .'],['NP'],"[['JJ', 'NN', '.']]"
357,hypertensive patients receiving drug treatment,"['hypertensive patients', 'receiving', 'drug treatment']","['NP', 'VP', 'NP']","[['JJ', 'NNS'], ['VBG'], ['NN', 'NN']]"
360,hypertensive patients receiving drug treatment,"['hypertensive patients', 'receiving', 'drug treatment']","['NP', 'VP', 'NP']","[['JJ', 'NNS'], ['VBG'], ['NN', 'NN']]"
363,"hypertensives on chronic , stable antihypertensive therapy .","['hypertensives', 'on', 'chronic , stable antihypertensive therapy .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', ',', 'JJ', 'JJ', 'NN', '.']]"
368,people with one or more cardiovascular risk factors .,"['people', 'with', 'one or more', 'cardiovascular risk factors .']","['NP', 'PP', 'QP', 'NP']","[['NNS'], ['IN'], ['CD', 'CC', 'JJR'], ['JJ', 'NN', 'NNS', '.']]"
371,people with one or more cardiovascular risk factors .,"['people', 'with', 'one or more', 'cardiovascular risk factors .']","['NP', 'PP', 'QP', 'NP']","[['NNS'], ['IN'], ['CD', 'CC', 'JJR'], ['JJ', 'NN', 'NNS', '.']]"
374,"Fifteen Italian hypertension units studied 142 hypertensive patients ( 76 men , 66 women ; mean age 59 +/- 5.9 years ) treated with different antihypertensive drugs :","['Fifteen Italian hypertension units', 'studied', '142 hypertensive patients ( 76 men , 66 women ; mean age 59 + /- 5.9 years )', 'treated', 'with', 'different antihypertensive drugs', ':']","['NP', 'VP', 'NP', 'VP', 'PP', 'NP', 'S']","[['CD', 'JJ', 'NN', 'NNS'], ['VBD'], ['CD', 'JJ', 'NNS', '-LRB-', 'CD', 'NNS', ',', 'CD', 'NNS', ':', 'VB', 'NN', 'CD', 'CC', '.', 'CD', 'NNS', '-RRB-'], ['VBN'], ['IN'], ['JJ', 'JJ', 'NNS'], [':']]"
376,hypertension,['hypertension'],['NP'],[['NN']]
377,142 hypertensive,['142 hypertensive'],['NP'],"[['CD', 'JJ']]"
378,76 men,['76 men'],['NP'],"[['CD', 'NNS']]"
379,66 women,['66 women'],['NP'],"[['CD', 'NNS']]"
380,mean age 59 +/- 5.9 years,['mean age 59 + /- 5.9 years'],['NP'],"[['NNP', 'NN', 'CD', 'CC', '.', 'CD', 'NNS']]"
381,treated with different antihypertensive drugs,"['treated', 'with', 'different antihypertensive drugs']","['VP', 'PP', 'NP']","[['VBN'], ['IN'], ['JJ', 'JJ', 'NNS']]"
398,hypertensives under treatment .,"['hypertensives', 'under', 'treatment .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', '.']]"
403,treated hypertensive patients .,"['treated hypertensive patients', '.']","['VP', 'S']","[['VBN', 'JJ', 'NNS'], ['.']]"
406,treated hypertensive patients .,"['treated hypertensive patients', '.']","['VP', 'S']","[['VBN', 'JJ', 'NNS'], ['.']]"
409,Young children with pervasive developmental disorder,"['Young children', 'with', 'pervasive developmental disorder']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['JJ', 'JJ', 'NN']]"
412,Young children,['Young children'],['NP'],"[['JJ', 'NNS']]"
413,pervasive developmental disorder,['pervasive developmental disorder'],['NP'],"[['JJ', 'NNP', 'NN']]"
416,"( 7 with autism , 8 with pervasive developmental disorder not otherwise specified -- NOS )","['(', '7', 'with', 'autism', ',', '8', 'with', 'pervasive developmental disorder', 'not', 'otherwise', 'specified', '-- NOS )']","['PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'VP', 'ADVP', 'VP', 'PP']","[['-LRB-'], ['CD'], ['IN'], ['NN'], [','], ['CD'], ['IN'], ['JJ', 'JJ', 'NN'], ['RB'], ['RB'], ['VBN'], [':', 'NNP', '-RRB-']]"
418,7,['7'],['NP'],[['LS']]
419,autism,['autism'],['NP'],[['NN']]
420,8,['8'],['NP'],[['CD']]
421,pervasive developmental disorder not otherwise specified -- NOS,"['pervasive developmental disorder', 'not', 'otherwise', 'specified', '-- NOS']","['NP', 'VP', 'ADVP', 'VP', 'NP']","[['JJ', 'JJ', 'NN'], ['RB'], ['RB'], ['VBN'], [':', 'NNP']]"
423,"( 7 with autism , 6 with pervasive developmental disorder NOS )","['(', '7', 'with', 'autism', ',', '6', 'with', 'pervasive developmental disorder NOS', ')']","['FRAG', 'NP', 'PP', 'NP', 'FRAG', 'NP', 'PP', 'NP', 'FRAG']","[['-LRB-'], ['CD'], ['IN'], ['NN'], [','], ['CD'], ['IN'], ['JJ', 'JJ', 'NN', 'NNP'], ['-RRB-']]"
426,7 with autism,"['7', 'with', 'autism']","['NP', 'PP', 'NP']","[['LS'], ['IN'], ['NN']]"
427,6 with pervasive developmental disorder NOS,"['6', 'with', 'pervasive developmental disorder NOS']","['NP', 'PP', 'NP']","[['CD'], ['IN'], ['JJ', 'JJ', 'NN', 'NNP']]"
443,Children with pervasive developmental disorder NOS,"['Children', 'with', 'pervasive developmental disorder NOS']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'JJ', 'NN', 'NNP']]"
444,autism .,['autism .'],['NP'],"[['NN', '.']]"
445,Children,['Children'],['NP'],[['NNS']]
446,pervasive developmental disorder,['pervasive developmental disorder'],['NP'],"[['JJ', 'NNP', 'NN']]"
447,children with pervasive developmental disorder .,"['children', 'with', 'pervasive developmental disorder .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'JJ', 'NN', '.']]"
449,children,['children'],['NP'],[['NNS']]
450,pervasive developmental disorder,['pervasive developmental disorder'],['NP'],"[['JJ', 'NNP', 'NN']]"
452,on dogs and cats,"['on', 'dogs and cats']","['PP', 'NP']","[['IN'], ['NNS', 'CC', 'NNS']]"
456,dogs and cats,['dogs and cats'],['NP'],"[['NNS', 'CC', 'NNS']]"
460,dogs and cats showing signs of flea allergy dermatitis ( FAD ) .,"['dogs and cats', 'showing', 'signs', 'of', 'flea allergy dermatitis ( FAD )', '.']","['NP', 'VP', 'NP', 'PP', 'NP', 'S']","[['NNS', 'CC', 'NNS'], ['VBG'], ['NNS'], ['IN'], ['NN', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-'], ['.']]"
462,dogs and cats showing signs of flea allergy dermatitis ( FAD ) .,"['dogs and cats', 'showing', 'signs', 'of', 'flea allergy dermatitis ( FAD )', '.']","['NP', 'VP', 'NP', 'PP', 'NP', 'S']","[['NNS', 'CC', 'NNS'], ['VBG'], ['NNS'], ['IN'], ['NN', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-'], ['.']]"
466,"Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD","['Dogs and cats', 'with', 'naturally occurring', 'flea infestations , some', 'of', 'which', 'also', 'had', 'signs', 'associated', 'with', 'FAD']","['NP', 'PP', 'ADJP', 'NP', 'WHPP', 'WHNP', 'ADVP', 'VP', 'NP', 'VP', 'PP', 'NP']","[['NNS', 'CC', 'NNS'], ['IN'], ['RB', 'VBG'], ['NN', 'NNS', ',', 'DT'], ['IN'], ['WDT'], ['RB'], ['VBD'], ['NNS'], ['VBN'], ['IN'], ['NNP']]"
467,"( 220 dogs , 189 cats )","['( 220 dogs , 189 cats )']",['NP'],"[['-LRB-', 'CD', 'NNS', ',', 'CD', 'NNS', '-RRB-']]"
471,"Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD","['Dogs and cats', 'with', 'naturally occurring', 'flea infestations , some', 'of', 'which', 'also', 'had', 'signs', 'associated', 'with', 'FAD']","['NP', 'PP', 'ADJP', 'NP', 'WHPP', 'WHNP', 'ADVP', 'VP', 'NP', 'VP', 'PP', 'NP']","[['NNS', 'CC', 'NNS'], ['IN'], ['RB', 'VBG'], ['NN', 'NNS', ',', 'DT'], ['IN'], ['WDT'], ['RB'], ['VBD'], ['NNS'], ['VBN'], ['IN'], ['NNP']]"
472,"220 dogs , 189 cats","['220 dogs , 189 cats']",['NP'],"[['CD', 'NNS', ',', 'CD', 'NNS']]"
495,dogs and cats diagnosed clinically with FAD .,"['dogs and cats', 'diagnosed', 'clinically', 'with', 'FAD', '.']","['NP', 'VP', 'ADVP', 'PP', 'NP', 'S']","[['NNS', 'CC', 'NNS'], ['VBD'], ['RB'], ['IN'], ['NNP'], ['.']]"
498,dogs and cats diagnosed clinically with FAD .,"['dogs and cats', 'diagnosed', 'clinically', 'with', 'FAD', '.']","['NP', 'VP', 'ADVP', 'PP', 'NP', 'S']","[['NNS', 'CC', 'NNS'], ['VBD'], ['RB'], ['IN'], ['NNP'], ['.']]"
500,397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA,"['397 dogs free', 'of', 'adult heartworm infection', 'from', 'four heartworm', '-', 'endemic areas', 'of', 'the USA']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS', 'JJ'], ['IN'], ['NN', 'NN', 'NN'], ['IN'], ['CD', 'NN'], ['HYPH'], ['NN', 'NNS'], ['IN'], ['DT', 'NNP']]"
503,397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA,"['397 dogs free', 'of', 'adult heartworm infection', 'from', 'four heartworm', '-', 'endemic areas', 'of', 'the USA']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS', 'JJ'], ['IN'], ['NN', 'NN', 'NN'], ['IN'], ['CD', 'NN'], ['HYPH'], ['NN', 'NNS'], ['IN'], ['DT', 'NNP']]"
511,673 dogs and 347 cats having an age range of 6 weeks to 19 years,"['673 dogs and 347 cats', 'having', 'an age range', 'of', '6 weeks', 'to', '19 years']","['NP', 'VP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS', 'CC', 'CD', 'NNS'], ['VBG'], ['DT', 'NN', 'NN'], ['IN'], ['CD', 'NNS'], ['IN'], ['CD', 'NNS']]"
513,673 dogs and 347 cats,['673 dogs and 347 cats'],['NP'],"[['CD', 'NNS', 'CC', 'CD', 'NNS']]"
515,"19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) .","['19 purebred or crossbred Collies (', 'Bearded', ', Border , and unspecified', ') .']","['NP', 'ADJP', 'UCP', 'NP']","[['CD', 'VBD', 'CC', 'VBN', 'NNP', '-LRB-'], ['JJ'], [',', 'NNP', ',', 'CC', 'JJ'], ['-RRB-', '.']]"
516,"19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) .","['19 purebred or crossbred Collies (', 'Bearded', ', Border , and unspecified', ') .']","['NP', 'ADJP', 'UCP', 'NP']","[['CD', 'VBD', 'CC', 'VBN', 'NNP', '-LRB-'], ['JJ'], [',', 'NNP', ',', 'CC', 'JJ'], ['-RRB-', '.']]"
519,in dogs and cats,"['in', 'dogs and cats']","['PP', 'NP']","[['IN'], ['NNS', 'CC', 'NNS']]"
523,dogs and cats,['dogs and cats'],['NP'],"[['NNS', 'CC', 'NNS']]"
527,dogs and cats .,['dogs and cats .'],['NP'],"[['NNS', 'CC', 'NNS', '.']]"
532,dogs and cats .,['dogs and cats .'],['NP'],"[['NNS', 'CC', 'NNS', '.']]"
536,dogs and cats presented as veterinary patients in North America .,"['dogs and cats', 'presented', 'as', 'veterinary patients', 'in', 'North America', '.']","['NP', 'VP', 'PP', 'NP', 'PP', 'NP', 'S']","[['NNS', 'CC', 'NNS'], ['VBD'], ['IN'], ['JJ', 'NNS'], ['IN'], ['NNP', 'NNP'], ['.']]"
540,dogs and cats presented as veterinary patients in North America .,"['dogs and cats', 'presented', 'as', 'veterinary patients', 'in', 'North America', '.']","['NP', 'VP', 'PP', 'NP', 'PP', 'NP', 'S']","[['NNS', 'CC', 'NNS'], ['VBD'], ['IN'], ['JJ', 'NNS'], ['IN'], ['NNP', 'NNP'], ['.']]"
544,Acute invasive diarrhea,['Acute invasive diarrhea'],['NP'],"[['JJ', 'JJ', 'NN']]"
545,in children .,"['in', 'children', '.']","['PP', 'NP', 'FRAG']","[['IN'], ['NNS'], ['.']]"
546,children .,['children .'],['NP'],"[['NNS', '.']]"
547,acute invasive diarrhea requiring an emergency visit in southern Israel .,"['acute invasive diarrhea', 'requiring', 'an emergency visit', 'in', 'southern Israel .']","['NP', 'VP', 'NP', 'PP', 'NP']","[['JJ', 'JJ', 'NN'], ['VBG'], ['DT', 'NN', 'NN'], ['IN'], ['JJ', 'NNP', '.']]"
550,invasive diarrhea .,['invasive diarrhea .'],['NP'],"[['JJ', 'NN', '.']]"
551,acute invasive diarrhea in infants and children .,"['acute invasive diarrhea', 'in', 'infants and children .']","['NP', 'PP', 'NP']","[['JJ', 'JJ', 'NN'], ['IN'], ['NNS', 'CC', 'NNS', '.']]"
555,acute invasive diarrhea,['acute invasive diarrhea'],['NP'],"[['JJ', 'JJ', 'NN']]"
556,infants and children,['infants and children'],['NP'],"[['NNS', 'CC', 'NNS']]"
560,201 evaluable children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting with acute invasive diarrhea at the Pediatric Emergency Room,"['201 evaluable children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting', 'with', 'acute invasive diarrhea', 'at', 'the Pediatric Emergency Room']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'JJ', 'NNS', 'VBZ', 'CD', 'NNS', 'IN', 'CD', 'NNS', '-LRB-', 'CD', 'NN', 'XX', 'CD', 'NN', ':', 'CD', 'NN', 'XX', 'CD', 'NNS', '-RRB-', 'VBG'], ['IN'], ['JJ', 'JJ', 'NN'], ['IN'], ['DT', 'NNP', 'NNP', 'NNP']]"
563,201,['201'],['NP'],[['CD']]
564,children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting with acute invasive diarrhea at the Pediatric Emergency Room,"['children ages 6 months to 10 years ( 35 % < 1 year ; 70 % < 3 years ) presenting', 'with', 'acute invasive diarrhea', 'at', 'the Pediatric Emergency Room']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS', 'VBZ', 'CD', 'NNS', 'IN', 'CD', 'NNS', '-LRB-', 'CD', 'NN', 'XX', 'CD', 'NN', ':', 'CD', 'NN', 'XX', 'CD', 'NNS', '-RRB-', 'VBG'], ['IN'], ['JJ', 'JJ', 'NN'], ['IN'], ['DT', 'NNP', 'NNP', 'NNP']]"
592,acute invasive diarrhea in ambulatory pediatric patients requiring an emergency room visit .,"['acute invasive diarrhea', 'in', 'ambulatory pediatric patients', 'requiring', 'an emergency room visit .']","['NP', 'PP', 'NP', 'VP', 'NP']","[['JJ', 'JJ', 'NN'], ['IN'], ['JJ', 'JJ', 'NNS'], ['VBG'], ['DT', 'NN', 'NN', 'NN', '.']]"
596,ambulatory pediatric patients requiring an emergency room visit .,"['ambulatory pediatric patients', 'requiring', 'an emergency room visit .']","['NP', 'VP', 'NP']","[['JJ', 'JJ', 'NNS'], ['VBG'], ['DT', 'NN', 'NN', 'NN', '.']]"
601,acute invasive diarrhea in children .,"['acute invasive diarrhea', 'in', 'children .']","['NP', 'PP', 'NP']","[['JJ', 'JJ', 'NN'], ['IN'], ['NNS', '.']]"
604,acute invasive diarrhea,['acute invasive diarrhea'],['NP'],"[['JJ', 'JJ', 'NN']]"
605,children,['children'],['NP'],[['NNS']]
608,children with malaria,"['children', 'with', 'malaria']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP']]"
613,children,['children'],['NP'],[['NNS']]
614,malaria,['malaria'],['NP'],[['NNP']]
619,malaria .,['malaria .'],['NP'],"[['NNP', '.']]"
622,malaria .,['malaria .'],['NP'],"[['NNP', '.']]"
625,children with malaria .,"['children', 'with', 'malaria .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', '.']]"
627,children,['children'],['NP'],[['NNS']]
628,malaria,['malaria'],['NP'],[['NNP']]
630,10 healthy subjects .,['10 healthy subjects .'],['NP'],"[['CD', 'JJ', 'NNS', '.']]"
632,10 healthy subjects,['10 healthy subjects'],['NP'],"[['CD', 'JJ', 'NNS']]"
669,249 adults from Washington State aged 55 to 75 with a doctor-confirmed diagnosis of osteoarthritis to participate in aquatic classes .,"['249 adults', 'from', 'Washington State', 'aged', '55 to 75', 'with', 'a doctor', '-', 'confirmed diagnosis', 'of', 'osteoarthritis', 'to', 'participate', 'in', 'aquatic classes', '.']","['NP', 'PP', 'NP', 'S', 'QP', 'PP', 'NP', 'S', 'NP', 'PP', 'NP', 'VP', 'VP', 'PP', 'NP', 'S']","[['CD', 'NNS'], ['IN'], ['NNP', 'NNP'], ['VBD'], ['CD', 'TO', 'CD'], ['IN'], ['DT', 'NN'], ['HYPH'], ['VBN', 'NN'], ['IN'], ['NN'], ['TO'], ['VB'], ['IN'], ['JJ', 'NNS'], ['.']]"
671,249 adults from Washington State aged 55 to 75,"['249 adults', 'from', 'Washington State', 'aged', '55', 'to 75']","['NP', 'PP', 'NP', 'VP', 'NP', 'VP']","[['CD', 'NNS'], ['IN'], ['NNP', 'NNP'], ['VBD'], ['CD'], ['TO', 'CD']]"
672,doctor-confirmed diagnosis of osteoarthritis,"['doctor - confirmed diagnosis', 'of', 'osteoarthritis']","['NP', 'PP', 'NP']","[['NN', 'HYPH', 'VBN', 'NN'], ['IN'], ['NN']]"
713,persons with osteoarthritis .,"['persons', 'with', 'osteoarthritis .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', '.']]"
716,persons with osteoarthritis .,"['persons', 'with', 'osteoarthritis .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', '.']]"
719,patients at high risk for cardiovascular events .,"['patients', 'at', 'high risk', 'for', 'cardiovascular events .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN'], ['IN'], ['JJ', 'NNS', '.']]"
