,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
556,,,,,,,,,,infants and children,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,201 evaluable children,ages,6 months to,10 years,(,35 %,< 1 year,;,70 %,<,3 years,) presenting,with,acute invasive diarrhea,at,the Pediatric Emergency Room,,,,,,,,,,,,
563,,,,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,,,,,,,,,,children,ages,6 months to 10 years,(,35 %,< 1 year,;,70 %,<,3 years,) presenting,with,acute invasive diarrhea,at,the Pediatric Emergency Room,,,,,,,,,,,,,
592,,,,,,,,,,acute invasive diarrhea,in,ambulatory pediatric patients,requiring,an emergency room visit,.,,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,ambulatory pediatric patients,requiring,an emergency room visit,.,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,acute invasive diarrhea,in,children,.,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,acute invasive diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,children,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,children,with,malaria,,,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,,,,children,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,malaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,malaria .,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,,,,,,,,,,malaria .,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,children,with,malaria,.,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,children,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,malaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,10 healthy subjects .,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,,,,,,,,,10 healthy subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,,,,,,,,249 adults,from,Washington State,aged,55 to 75,with,a doctor,-,confirmed diagnosis,of,osteoarthritis,to,participate,in,aquatic classes,.,,,,,,,,,,,,
671,,,,,,,,,,249 adults,from,Washington State,aged,55,to 75,,,,,,,,,,,,,,,,,,,,,,
672,,,,,,,,,,doctor,-,confirmed diagnosis,of,osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,
713,,,,,,,,,,persons,with,osteoarthritis,.,,,,,,,,,,,,,,,,,,,,,,,,
716,,,,,,,,,,persons,with,osteoarthritis,.,,,,,,,,,,,,,,,,,,,,,,,,
719,,,,,,,,,,patients,at,high risk,for,cardiovascular events,.,,,,,,,,,,,,,,,,,,,,,,
722,,,,,,,,,,patients,at,high risk,for,cardiovascular events,.,,,,,,,,,,,,,,,,,,,,,,
736,,,,,,,,,in,patients,with,open angle glaucoma,or,ocular hypertension,where,IOP,is not,adequately,controlled,with,timolol,.,,,,,,,,,,,,,,,
742,,,,,,,,,,patients,with,open angle glaucoma,or,ocular hypertension,where,IOP,is not,adequately,controlled,with,timolol,.,,,,,,,,,,,,,,,
749,,,,,,,,,,53 patients,with,primary open angle glaucoma,",",capsular glaucoma,", or",ocular hypertension,with,an IOP,of,at least 21,mmHg,on,current therapy,,,,,,,,,,,,,,
750,,,,,,,,,,53 patients,with,primary open angle glaucoma,",",capsular glaucoma,", or",ocular hypertension,with,an IOP,of,at least 21,mmHg,on,current therapy,,,,,,,,,,,,,,
786,,,,,,,,,,patients,insufficiently,controlled,on,timolol,.,,,,,,,,,,,,,,,,,,,,,,
789,,,,,,,,,,patients,insufficiently,controlled,on,timolol,.,,,,,,,,,,,,,,,,,,,,,,
791,,,,,,,,,,patients,with,epithelial ovarian carcinoma,that,recurred,after,or did n't respond to,first,"- line ,",platinum,-,based chemotherapy,.,,,,,,,,,,,,,,,
796,,,,,,,,,,patients,with,epithelial ovarian carcinoma,that,recurred,after,or did n't respond to,first,"- line ,",platinum,-,based chemotherapy,.,,,,,,,,,,,,,,,
801,,,,,,,,,,Patients,with,measurable and assessable,disease,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,Patients,with,measurable and assessable,disease,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,,,,,A total,of,474 patients,were,treated,,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,,,,,,,,,,Recurrent epithelial ovarian carcinoma :,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,,,,,,,,,,Sixty healthy women,",",half,of,whom,had,been,using,OCs,for,at least,the previous 6,months,,,,,,,,,,,,,,,
871,,,,,,,,,,Sixty healthy women,",",half,of,whom,had,been,using,OCs,for,at least,the previous 6,months,,,,,,,,,,,,,,,
872,,,,,,,,,,two thirds,were,smokers,,,,,,,,,,,,,,,,,,,,,,,,,
875,,,,,,,,,,two thirds,were,smokers,,,,,,,,,,,,,,,,,,,,,,,,,
878,,,,,,,,,,One third,were,nonsmokers,.,,,,,,,,,,,,,,,,,,,,,,,,
879,,,,,,,,,,One third,were,nonsmokers,.,,,,,,,,,,,,,,,,,,,,,,,,
890,,,,,,,,,,women .,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,,,,,,,,,,nonsmoking women,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,,,,,,,,,,nonsmokers .,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,,,,,,,,,,patients,on,thrombolytic therapy,(,TLT,),.,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,patients,on,thrombolytic therapy,(,TLT,),.,,,,,,,,,,,,,,,,,,,,,
915,,,,,,,,,,106 males,with,Q,-,MI,entered,the study,.,,,,,,,,,,,,,,,,,,,,
916,,,,,,,,,,106 males,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,,,,,,,,,,Q,-,MI,,,,,,,,,,,,,,,,,,,,,,,,,
941,,,,,,,,,,MI patients,receiving,TLT,,,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,,,,myocardial infarction,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,,,,,,,,,,older adults,(,60 ( SE 1 ) years,;,BMI,26,( SE 1 ) kg / m,(,2,),),.,,,,,,,,,,,,,,,,
955,,,,,,,,,,older adults,(,60 ( SE 1 ) years,;,BMI,26 ( SE 1 ) kg / m,( 2 ),),,,,,,,,,,,,,,,,,,,,
979,,,,,,,,,,60-year - old subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,60-year - old subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,,,,,,,,,,the 60-year - old,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,,,,,,,,,the 60-year - old,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,,,,,,,,patients,with,recently diagnosed,rheumatoid arthritis (,RA,),,,,,,,,,,,,,,,,,,,,,,
994,,,,,,,,,,patients,with,recently diagnosed,rheumatoid arthritis (,RA,),,,,,,,,,,,,,,,,,,,,,,
996,,,,,,,,,,Twenty,-,two patients,with,a history,of,recently diagnosed,RA,of,less than 2,years,,,,,,,,,,,,,,,,,
998,,,,,,,,,,Twenty,-,two patients,with,a history,of,recently diagnosed,RA,of,less than 2,years,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,22 patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,22 patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,recent onset RA .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,recent onset rheumatoid arthritis :,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,recent onset rheumatoid arthritis :,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,,,,,,,Eighteen patients,who,had,undergone,stoma surgery,,,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,Eighteen patients,who,had,undergone,stoma surgery,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,patients,after,stoma surgery,.,,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,patients,after,stoma surgery,.,,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,,,patients,after,stoma surgery,.,,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,,,,patients,after,stoma surgery,.,,,,,,,,,,,,,,,,,,,,,,,,
1050,,,,,,,,,,44 patients,with,inclusion body myositis,,,,,,,,,,,,,,,,,,,,,,,,,
1053,,,,,,,,,,44 patients,with,inclusion body myositis,,,,,,,,,,,,,,,,,,,,,,,,,
1076,,,,,,,,,,inclusion body myositis,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,inclusion body myositis,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,,,,,,,,,,pterygium .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,,,,,,,,,,pterygium .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,,,,,,,,,,208 patients,(,229 eyes,),with,initial pterygium,,,,,,,,,,,,,,,,,,,,,,
1096,,,,,,,,,,208 patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,,,,,,,,,,initial pterygium,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,,,,,,,,,,pterygium .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,pterygium ],,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,pterygium,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,,,,,,,,,,Thirty,-,five university students,were,assessed,,,,,,,,,,,,,,,,,,,,,,,
1126,,,,,,,,,,Thirty,-,five university students,were,assessed,,,,,,,,,,,,,,,,,,,,,,,
1152,,,,,,,,,,A total,of,57 consecutive patients,with,primary ureteropelvic junction obstruction,,,,,,,,,,,,,,,,,,,,,,,
1154,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,,,,,,,patients,with,primary ureteropelvic junction obstruction,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,endopyelotomy,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,,,,,,,,,,endopyelotomy,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,,,,,,,,,,patients,with,advanced NPC,.,,,,,,,,,,,,,,,,,,,,,,,,
1188,,,,,,,,,,patients,with,advanced NPC,.,,,,,,,,,,,,,,,,,,,,,,,,
1191,,,,,From,December 1993,to,April 1999,",",284 patients,with,1992 American Joint Committee,on Cancer,stage,III to,IV,( M0 ) NPC,,,,,,,,,,,,,,,,,,,,
1192,,,,,,,,,,,From,December 1993,to,April 1999,,,,,,,,,,,,,,,,,,,,,,,
1193,,,,,,,,,,284 patients,with,1992 American Joint Committee,on,Cancer,stage,III,to,IV,( M0 ) NPC,,,,,,,,,,,,,,,,,,
1233,,,,,,,,,,patients,with,advanced NPC,in,endemic areas,.,,,,,,,,,,,,,,,,,,,,,,
1236,,,,,,,,,,patients,with,advanced NPC,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,advanced nasopharyngeal carcinoma :,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,advanced nasopharyngeal carcinoma :,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,,,,,,,,,,people,with,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,people,with,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,
1259,,,,,,,,,,7674 participants,with,albuminuria data,at,baseline,and,at,follow,- up .,,,,,,,,,,,,,,,,,,,
1260,7674 participants,with,albuminuria data,at,baseline,and,at,follow,-,up,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,Inclusion criteria,were,known,vascular disease or,diabetes,plus,one other cardiovascular risk factor,",",exclusion criteria,included,heart failure,or,known impaired left ventricular function,",",dipstick,-,positive proteinuria,(,> 1 +,),", and",serum creatinine,>,2.3 mg / dl,(,200 microM,),.
1275,,,,,,,,,,People,without and,with,diabetes,who,are,at,high risk,for,cardiovascular disease,,,,,,,,,,,,,,,,,,
1278,,,,,,,,,nondiabetic,and,in,diabetic people,.,,,,,,,,,,,,,,,,,,,,,,,,
1280,,,,,,,,,nondiabetic,and,in,diabetic people,.,,,,,,,,,,,,,,,,,,,,,,,,
1285,,,,,,,,,in,people,at,high cardiovascular risk,:,,,,,,,,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,people,at,high cardiovascular risk,,,,,,,,,,,,,,,,,,,,,,,,,
1288,,,,,,,,,for,colonoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,,,,,,,,,,100 adult patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,100 adult patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,,,,,,,,,,colonoscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,,,,,,,,,,outpatient colonoscopy .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,,,,,,,,,,outpatient colonoscopy .,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,,,,,,,,,,Twenty,-,nine IDDM patients,with,borderline hypertension,,,,,,,,,,,,,,,,,,,,,,,
1355,,,,,,,,,,Twenty,-,nine IDDM patients,with,borderline hypertension,,,,,,,,,,,,,,,,,,,,,,,
1381,,,,,,,,,,diabetic patients,with,borderline hypertension,.,,,,,,,,,,,,,,,,,,,,,,,,
1384,,,,,,,,,,diabetic patients,with,borderline hypertension,.,,,,,,,,,,,,,,,,,,,,,,,,
1387,,,,,,,,,,borderline hypertensive patients,with,IDDM,- type diabetes mellitus,.,,,,,,,,,,,,,,,,,,,,,,,
1391,,,,,,,,,,borderline hypertensive patients,with,IDDM,- type diabetes mellitus,.,,,,,,,,,,,,,,,,,,,,,,,
1403,,,,,,,,,,control infants,",",compared,to,infants,with,different gastrointestinal diseases,",",before and after,treatment,of,their disease,.,,,,,,,,,,,,,,,
1409,,,,,,,,,,infants,with,different gastrointestinal diseases,,,,,,,,,,,,,,,,,,,,,,,,,
1412,,,,,,,,,,21 patients,(,age,0 - 2 months,),and,40 healthy infants,(,age 0 - 2 months,),,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,21 patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,,,,,,,,,,age,0 -,2 months,,,,,,,,,,,,,,,,,,,,,,,,,
1415,,,,,,,,,,40 healthy infants,,,,,,,,,,,,,,,,,,,,,,,,,,,
