,text,src,Type,misc,ID,ann_section,ann_source,class
94,children undergoing general anaesthesia for tonsillectomy,6,Abstract,hl_p,10390665,test,gold,p
95,granisetron,6,Abstract,hl_i,10390665,test,gold,i
96,perphenazine,6,Abstract,hl_i,10390665,test,gold,i
97,long-term prevention,6,Abstract,hl_o,10390665,test,gold,o
98,post-operative vomiting,6,Abstract,hl_o,10390665,test,gold,o
99,children .,0,Title,ss_p,10390665,test,gold,p
100,granisetron,0,Title,ss_i,10390665,test,gold,i
101,perphenazine,0,Title,ss_i,10390665,test,gold,i
102,Anti-emetic efficacy,0,Title,ss_o,10390665,test,gold,o
103,prevention,0,Title,ss_o,10390665,test,gold,o
104,children .,0,Title,hl_p,10390665,test,gold,p
105,granisetron,0,Title,hl_i,10390665,test,gold,i
106,perphenazine,0,Title,hl_i,10390665,test,gold,i
107,Anti-emetic efficacy,0,Title,hl_o,10390665,test,gold,o
108,prevention,0,Title,hl_o,10390665,test,gold,o
109,Somatostatin,0,Abstract,ss_i,10475150,test,gold,i
110,regulation of melatonin secretion .,0,Abstract,ss_o,10475150,test,gold,o
111,Somatostatin,0,Abstract,hl_i,10475150,test,gold,i
112,melatonin secretion .,0,Abstract,hl_o,10475150,test,gold,o
113,somatostatin,1,Abstract,ss_i,10475150,test,gold,i
114,regulatory influence on melatonin secretion,1,Abstract,ss_o,10475150,test,gold,o
115,somatostatin,1,Abstract,hl_i,10475150,test,gold,i
116,melatonin secretion,1,Abstract,hl_o,10475150,test,gold,o
117,"8 healthy volunteers , and 6 women with untreated primary hypothyroidism",2,Abstract,ss_p,10475150,test,gold,p
118,nocturnal melatonin secretion,2,Abstract,ss_o,10475150,test,gold,o
119,8 healthy volunteers,2,Abstract,hl_p,10475150,test,gold,p
120,6 women,2,Abstract,hl_p,10475150,test,gold,p
121,untreated primary hypothyroidism,2,Abstract,hl_p,10475150,test,gold,p
122,nocturnal melatonin secretion,2,Abstract,hl_o,10475150,test,gold,o
123,saline,3,Abstract,ss_i,10475150,test,gold,i
124,octreotide ( Sandostatin ;,3,Abstract,ss_i,10475150,test,gold,i
125,saline,3,Abstract,hl_i,10475150,test,gold,i
126,octreotide ( Sandostatin ;,3,Abstract,hl_i,10475150,test,gold,i
127,healthy volunteers,4,Abstract,ss_p,10475150,test,gold,p
128,octreotide,4,Abstract,ss_i,10475150,test,gold,i
129,saline .,4,Abstract,ss_i,10475150,test,gold,i
130,melatonin secretion,4,Abstract,ss_o,10475150,test,gold,o
131,healthy volunteers,4,Abstract,hl_p,10475150,test,gold,p
132,octreotide,4,Abstract,hl_i,10475150,test,gold,i
133,saline .,4,Abstract,hl_i,10475150,test,gold,i
134,melatonin secretion,4,Abstract,hl_o,10475150,test,gold,o
135,urinary excretion of melatonin,5,Abstract,ss_o,10475150,test,gold,o
136,urinary excretion of melatonin,5,Abstract,hl_o,10475150,test,gold,o
137,healthy controls,6,Abstract,ss_p,10475150,test,gold,p
138,octreotide,6,Abstract,ss_i,10475150,test,gold,i
139,octreotide,6,Abstract,ss_i,10475150,test,gold,i
140,saline ;,6,Abstract,ss_i,10475150,test,gold,i
141,GH secretion,6,Abstract,ss_o,10475150,test,gold,o
142,octreotide,6,Abstract,hl_i,10475150,test,gold,i
143,octreotide,6,Abstract,hl_i,10475150,test,gold,i
144,saline ;,6,Abstract,hl_i,10475150,test,gold,i
145,GH secretion,6,Abstract,hl_o,10475150,test,gold,o
146,The patients with hypothyroidism,7,Abstract,ss_p,10475150,test,gold,p
147,octreotide,7,Abstract,ss_i,10475150,test,gold,i
148,saline .,7,Abstract,ss_i,10475150,test,gold,i
149,nocturnal melatonin secretion,7,Abstract,ss_o,10475150,test,gold,o
150,patients with hypothyroidism,7,Abstract,hl_p,10475150,test,gold,p
151,octreotide,7,Abstract,hl_i,10475150,test,gold,i
152,saline .,7,Abstract,hl_i,10475150,test,gold,i
153,nocturnal melatonin secretion,7,Abstract,hl_o,10475150,test,gold,o
154,Urinary excretion of melatonin,8,Abstract,ss_o,10475150,test,gold,o
155,Urinary excretion of melatonin,8,Abstract,hl_o,10475150,test,gold,o
156,octreotide,9,Abstract,ss_i,10475150,test,gold,i
157,octreotide,9,Abstract,ss_i,10475150,test,gold,i
158,saline ;,9,Abstract,ss_i,10475150,test,gold,i
159,octreotide,9,Abstract,ss_i,10475150,test,gold,i
160,somatostatin .,9,Abstract,ss_i,10475150,test,gold,i
161,total nocturnal secretion of TSH,9,Abstract,ss_o,10475150,test,gold,o
162,octreotide,9,Abstract,hl_i,10475150,test,gold,i
163,octreotide,9,Abstract,hl_i,10475150,test,gold,i
164,saline ;,9,Abstract,hl_i,10475150,test,gold,i
165,octreotide,9,Abstract,hl_i,10475150,test,gold,i
166,somatostatin .,9,Abstract,hl_i,10475150,test,gold,i
167,total nocturnal secretion of TSH,9,Abstract,hl_o,10475150,test,gold,o
168,normal subjects and in patients with primary hypothyroidism,10,Abstract,ss_p,10475150,test,gold,p
169,somatostatin -- in,10,Abstract,ss_i,10475150,test,gold,i
170,octreotide -- fails,10,Abstract,ss_i,10475150,test,gold,i
171,somatostatin,10,Abstract,ss_i,10475150,test,gold,i
172,nocturnal secretion and urinary excretion of melatonin,10,Abstract,ss_o,10475150,test,gold,o
173,regulator of melatonin secretion,10,Abstract,ss_o,10475150,test,gold,o
174,normal subjects and in patients with primary hypothyroidism,10,Abstract,hl_p,10475150,test,gold,p
175,somatostatin,10,Abstract,hl_i,10475150,test,gold,i
176,octreotide,10,Abstract,hl_i,10475150,test,gold,i
177,somatostatin,10,Abstract,hl_i,10475150,test,gold,i
178,nocturnal secretion and urinary excretion of melatonin,10,Abstract,hl_o,10475150,test,gold,o
179,healthy volunteers and in patients with primary hypothyroidism .,0,Title,ss_p,10475150,test,gold,p
180,somatostatin ( octreotide ),0,Title,ss_i,10475150,test,gold,i
181,regulation of melatonin secretion,0,Title,ss_o,10475150,test,gold,o
182,healthy volunteers and in patients with primary hypothyroidism .,0,Title,hl_p,10475150,test,gold,p
183,somatostatin ( octreotide ),0,Title,hl_i,10475150,test,gold,i
184,melatonin secretion,0,Title,hl_o,10475150,test,gold,o
185,soy,0,Abstract,ss_i,10578479,test,gold,i
186,hormonal effects,0,Abstract,ss_o,10578479,test,gold,o
187,soy,0,Abstract,hl_i,10578479,test,gold,i
188,soy,1,Abstract,ss_i,10578479,test,gold,i
189,soy,1,Abstract,ss_i,10578479,test,gold,i
190,sex hormone metabolism,1,Abstract,ss_o,10578479,test,gold,o
191,menstrual function or serum sex hormones,1,Abstract,ss_o,10578479,test,gold,o
192,soy,1,Abstract,hl_i,10578479,test,gold,i
193,sex hormone metabolism,1,Abstract,hl_o,10578479,test,gold,o
194,"36 premenopausal women , 20 of whom used OC .",2,Abstract,ss_p,10578479,test,gold,p
195,soy,2,Abstract,ss_i,10578479,test,gold,i
196,36 premenopausal women,2,Abstract,hl_p,10578479,test,gold,p
197,20,2,Abstract,hl_p,10578479,test,gold,p
198,used OC,2,Abstract,hl_p,10578479,test,gold,p
199,soy,2,Abstract,hl_i,10578479,test,gold,i
200,normal diet,3,Abstract,ss_i,10578479,test,gold,i
201,soy beverage,3,Abstract,ss_i,10578479,test,gold,i
202,soy beverage,3,Abstract,hl_i,10578479,test,gold,i
203,soy,4,Abstract,ss_i,10578479,test,gold,i
204,"serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations",4,Abstract,ss_o,10578479,test,gold,o
205,soy,4,Abstract,hl_i,10578479,test,gold,i
206,"serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations",4,Abstract,hl_o,10578479,test,gold,o
207,menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone,5,Abstract,ss_o,10578479,test,gold,o
208,menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone,5,Abstract,hl_o,10578479,test,gold,o
209,urinary estrogen metabolites,6,Abstract,ss_o,10578479,test,gold,o
210,urinary estrogen metabolites,6,Abstract,hl_o,10578479,test,gold,o
211,premenopausal OC or non-OC users .,7,Abstract,ss_p,10578479,test,gold,p
212,soy,7,Abstract,ss_i,10578479,test,gold,i
213,"menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio",7,Abstract,ss_o,10578479,test,gold,o
214,premenopausal OC,7,Abstract,hl_p,10578479,test,gold,p
215,non-OC users .,7,Abstract,hl_p,10578479,test,gold,p
216,soy,7,Abstract,hl_i,10578479,test,gold,i
217,"menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio",7,Abstract,hl_o,10578479,test,gold,o
218,premenopausal women .,0,Title,ss_p,10578479,test,gold,p
219,soy,0,Title,ss_i,10578479,test,gold,i
220,sex hormone metabolism,0,Title,ss_o,10578479,test,gold,o
221,premenopausal women .,0,Title,hl_p,10578479,test,gold,p
222,soy,0,Title,hl_i,10578479,test,gold,i
223,sex hormone metabolism,0,Title,hl_o,10578479,test,gold,o
225,non-root substance removing curettes,1,Abstract,ss_i,10589810,test,gold,i
226,plastic curettes,2,Abstract,ss_i,10589810,test,gold,i
227,clinical effects,2,Abstract,ss_o,10589810,test,gold,o
228,clinical effects,2,Abstract,hl_o,10589810,test,gold,o
229,during supportive periodontal therapy .,3,Abstract,ss_p,10589810,test,gold,p
230,plastic curettes,3,Abstract,ss_i,10589810,test,gold,i
231,conventional steel curettes,3,Abstract,ss_i,10589810,test,gold,i
232,effects,3,Abstract,ss_o,10589810,test,gold,o
233,plastic curettes,3,Abstract,hl_i,10589810,test,gold,i
234,conventional steel curettes,3,Abstract,hl_i,10589810,test,gold,i
235,40 subjects,4,Abstract,ss_p,10589810,test,gold,p
236,40 subjects,4,Abstract,hl_p,10589810,test,gold,p
237,conventional steel curettes,5,Abstract,ss_i,10589810,test,gold,i
238,20,5,Abstract,hl_p,10589810,test,gold,p
239,conventional steel curettes,5,Abstract,hl_i,10589810,test,gold,i
240,plastic curettes,6,Abstract,ss_i,10589810,test,gold,i
241,20,6,Abstract,hl_p,10589810,test,gold,p
242,plastic curettes,6,Abstract,hl_i,10589810,test,gold,i
243,bleeding on probing ( BOP ) and probing pocket depth ( PPD ),7,Abstract,ss_o,10589810,test,gold,o
244,bleeding on probing ( BOP ) and probing pocket depth ( PPD ),7,Abstract,hl_o,10589810,test,gold,o
245,BOP percentage,8,Abstract,ss_o,10589810,test,gold,o
246,BOP percentage,8,Abstract,hl_o,10589810,test,gold,o
247,BOP and PPD,9,Abstract,ss_o,10589810,test,gold,o
248,BOP and PPD,9,Abstract,hl_o,10589810,test,gold,o
249,BOP percentage,10,Abstract,ss_o,10589810,test,gold,o
250,BOP,10,Abstract,ss_o,10589810,test,gold,o
251,BOP,10,Abstract,ss_o,10589810,test,gold,o
252,BOP percentage,10,Abstract,hl_o,10589810,test,gold,o
253,BOP,10,Abstract,hl_o,10589810,test,gold,o
254,BOP,10,Abstract,hl_o,10589810,test,gold,o
255,non-root substance removing curettes,11,Abstract,ss_i,10589810,test,gold,i
256,non-root substance removing curettes,11,Abstract,hl_i,10589810,test,gold,i
257,supportive periodontal therapy ( SPT ) .,0,Title,ss_p,10589810,test,gold,p
258,conventional steel,0,Title,ss_i,10589810,test,gold,i
259,non-tooth substance removing plastic curettes,0,Title,ss_i,10589810,test,gold,i
260,Clinical effects,0,Title,ss_o,10589810,test,gold,o
261,Clinical effects,0,Title,hl_o,10589810,test,gold,o
262,Xylometazoline,0,Abstract,ss_i,10763172,test,gold,i
263,Dexpanthenol ( Nasic ),0,Abstract,ss_i,10763172,test,gold,i
264,Xylometazoline alone .,0,Abstract,ss_i,10763172,test,gold,i
265,efficacy,0,Abstract,ss_o,10763172,test,gold,o
266,tolerability,0,Abstract,ss_o,10763172,test,gold,o
267,Xylometazoline,0,Abstract,hl_i,10763172,test,gold,i
268,Dexpanthenol ( Nasic ),0,Abstract,hl_i,10763172,test,gold,i
269,Xylometazoline,0,Abstract,hl_i,10763172,test,gold,i
270,efficacy,0,Abstract,hl_o,10763172,test,gold,o
271,tolerability,0,Abstract,hl_o,10763172,test,gold,o
273,61 inpatients with the diagnosis Rhinitis following nasal operation,2,Abstract,ss_p,10763172,test,gold,p
274,verum,2,Abstract,ss_i,10763172,test,gold,i
275,placebo,2,Abstract,ss_i,10763172,test,gold,i
276,61 inpatients with the diagnosis Rhinitis following nasal operation,2,Abstract,hl_p,10763172,test,gold,p
277,verum,2,Abstract,hl_i,10763172,test,gold,i
278,placebo,2,Abstract,hl_i,10763172,test,gold,i
279,nasal-breathing-resistance according to scores was defined as target-parameter .,3,Abstract,ss_o,10763172,test,gold,o
280,nasal-breathing-resistance according to scores,3,Abstract,hl_o,10763172,test,gold,o
282,Xylometazoline-Dexpanthenol,5,Abstract,ss_i,10763172,test,gold,i
283,Xylometazoline,5,Abstract,ss_i,10763172,test,gold,i
284,superiority,5,Abstract,ss_o,10763172,test,gold,o
285,target-parameter,5,Abstract,ss_o,10763172,test,gold,o
286,Xylometazoline-Dexpanthenol,5,Abstract,hl_i,10763172,test,gold,i
287,Xylometazoline,5,Abstract,hl_i,10763172,test,gold,i
288,efficacy,6,Abstract,ss_o,10763172,test,gold,o
289,tolerability,6,Abstract,ss_o,10763172,test,gold,o
290,efficacy,6,Abstract,hl_o,10763172,test,gold,o
291,tolerability,6,Abstract,hl_o,10763172,test,gold,o
292,compliance,7,Abstract,ss_o,10763172,test,gold,o
293,compliance,7,Abstract,hl_o,10763172,test,gold,o
294,patients following nasal operations,8,Abstract,ss_p,10763172,test,gold,p
295,improvement,8,Abstract,ss_o,10763172,test,gold,o
296,efficacy,8,Abstract,ss_o,10763172,test,gold,o
297,patients following nasal operations,8,Abstract,hl_p,10763172,test,gold,p
298,improvement,8,Abstract,hl_o,10763172,test,gold,o
299,efficacy,8,Abstract,hl_o,10763172,test,gold,o
300,tolerability,9,Abstract,ss_o,10763172,test,gold,o
301,tolerability,9,Abstract,hl_o,10763172,test,gold,o
302,rhinitis following nasal operation,10,Abstract,ss_p,10763172,test,gold,p
303,Xylometazoline-Dexpanthenol,10,Abstract,ss_i,10763172,test,gold,i
304,Xylometazoline,10,Abstract,ss_i,10763172,test,gold,i
305,rhinitis following nasal operation,10,Abstract,hl_p,10763172,test,gold,p
306,Xylometazoline-Dexpanthenol,10,Abstract,hl_i,10763172,test,gold,i
307,Xylometazoline,10,Abstract,hl_i,10763172,test,gold,i
308,after nose surgery,0,Title,ss_p,10763172,test,gold,p
309,xylometazoline,0,Title,ss_i,10763172,test,gold,i
310,dexpanthenol ],0,Title,ss_i,10763172,test,gold,i
311,[ Improving wound healing,0,Title,ss_o,10763172,test,gold,o
312,after nose surgery,0,Title,hl_p,10763172,test,gold,p
313,xylometazoline,0,Title,hl_i,10763172,test,gold,i
314,dexpanthenol ],0,Title,hl_i,10763172,test,gold,i
315,wound healing,0,Title,hl_o,10763172,test,gold,o
316,patients who underwent hysterectomy .,0,Abstract,ss_p,10764172,test,gold,p
317,morphine,0,Abstract,ss_i,10764172,test,gold,i
318,natural killer ( NK ) cell activity,0,Abstract,ss_o,10764172,test,gold,o
319,underwent hysterectomy,0,Abstract,hl_p,10764172,test,gold,p
320,morphine,0,Abstract,hl_i,10764172,test,gold,i
321,natural killer ( NK ) cell activity,0,Abstract,hl_o,10764172,test,gold,o
322,Forty patients were divided into four groups of ten .,1,Abstract,ss_p,10764172,test,gold,p
323,Forty patients were divided into four groups of ten .,1,Abstract,hl_p,10764172,test,gold,p
324,morphine,2,Abstract,ss_i,10764172,test,gold,i
325,morphine,2,Abstract,ss_i,10764172,test,gold,i
326,morphine,2,Abstract,ss_i,10764172,test,gold,i
327,morphine,2,Abstract,hl_i,10764172,test,gold,i
328,morphine,2,Abstract,hl_i,10764172,test,gold,i
329,morphine,2,Abstract,hl_i,10764172,test,gold,i
332,blood NK cell activity,5,Abstract,ss_o,10764172,test,gold,o
333,"chromium release assay with K562 cells as targets , plasma catecholamines and cortisol levels .",5,Abstract,ss_o,10764172,test,gold,o
334,postoperative pain score and side effects,6,Abstract,ss_o,10764172,test,gold,o
335,postoperative pain score and side effects,6,Abstract,hl_o,10764172,test,gold,o
336,NK cell activity,7,Abstract,ss_o,10764172,test,gold,o
337,NK cell activity,7,Abstract,hl_o,10764172,test,gold,o
338,NK cell activities,8,Abstract,ss_o,10764172,test,gold,o
339,NK cell activities,8,Abstract,hl_o,10764172,test,gold,o
340,plasma adrenaline,9,Abstract,ss_o,10764172,test,gold,o
341,noradrenaline concentrations,9,Abstract,ss_o,10764172,test,gold,o
342,plasma adrenaline,9,Abstract,hl_o,10764172,test,gold,o
343,noradrenaline concentrations,9,Abstract,hl_o,10764172,test,gold,o
344,plasma cortisol levels,10,Abstract,ss_o,10764172,test,gold,o
345,plasma cortisol levels,10,Abstract,hl_o,10764172,test,gold,o
346,pain score,11,Abstract,ss_o,10764172,test,gold,o
347,pain score,11,Abstract,hl_o,10764172,test,gold,o
348,abdominal surgery .,12,Abstract,ss_p,10764172,test,gold,p
349,morphine,12,Abstract,ss_i,10764172,test,gold,i
350,morphine,12,Abstract,hl_i,10764172,test,gold,i
351,abdominal surgery .,0,Title,ss_p,10764172,test,gold,p
352,morphine,0,Title,ss_i,10764172,test,gold,i
353,NK cell activity,0,Title,ss_o,10764172,test,gold,o
354,morphine,0,Title,hl_i,10764172,test,gold,i
355,NK cell activity,0,Title,hl_o,10764172,test,gold,o
357,hypertensive patients receiving drug treatment,1,Abstract,ss_p,10912743,test,gold,p
358,aspirin,1,Abstract,ss_i,10912743,test,gold,i
359,blood pressure ( BP ) control,1,Abstract,ss_o,10912743,test,gold,o
360,hypertensive patients receiving drug treatment,1,Abstract,hl_p,10912743,test,gold,p
361,aspirin,1,Abstract,hl_i,10912743,test,gold,i
362,blood pressure ( BP ) control,1,Abstract,hl_o,10912743,test,gold,o
363,"hypertensives on chronic , stable antihypertensive therapy .",2,Abstract,ss_p,10912743,test,gold,p
364,aspirin,2,Abstract,ss_i,10912743,test,gold,i
365,clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP,2,Abstract,ss_o,10912743,test,gold,o
366,aspirin,2,Abstract,hl_i,10912743,test,gold,i
367,clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP,2,Abstract,hl_o,10912743,test,gold,o
368,people with one or more cardiovascular risk factors .,3,Abstract,ss_p,10912743,test,gold,p
369,aspirin,3,Abstract,ss_i,10912743,test,gold,i
370,vitamin E,3,Abstract,ss_i,10912743,test,gold,i
371,people with one or more cardiovascular risk factors .,3,Abstract,hl_p,10912743,test,gold,p
372,aspirin,3,Abstract,hl_i,10912743,test,gold,i
373,vitamin E,3,Abstract,hl_i,10912743,test,gold,i
374,"Fifteen Italian hypertension units studied 142 hypertensive patients ( 76 men , 66 women ; mean age 59 +/- 5.9 years ) treated with different antihypertensive drugs :",4,Abstract,ss_p,10912743,test,gold,p
375,aspirin,4,Abstract,ss_i,10912743,test,gold,i
376,hypertension,4,Abstract,hl_p,10912743,test,gold,p
377,142 hypertensive,4,Abstract,hl_p,10912743,test,gold,p
378,76 men,4,Abstract,hl_p,10912743,test,gold,p
379,66 women,4,Abstract,hl_p,10912743,test,gold,p
380,mean age 59 +/- 5.9 years,4,Abstract,hl_p,10912743,test,gold,p
381,treated with different antihypertensive drugs,4,Abstract,hl_p,10912743,test,gold,p
382,aspirin,4,Abstract,hl_i,10912743,test,gold,i
383,aspirin,5,Abstract,ss_i,10912743,test,gold,i
384,clinic BP,5,Abstract,ss_o,10912743,test,gold,o
385,24-h ambulatory BP monitoring,5,Abstract,ss_o,10912743,test,gold,o
386,aspirin,5,Abstract,hl_i,10912743,test,gold,i
387,clinic BP,5,Abstract,hl_o,10912743,test,gold,o
388,24-h ambulatory BP monitoring,5,Abstract,hl_o,10912743,test,gold,o
389,clinic SBP and DBP,6,Abstract,ss_o,10912743,test,gold,o
390,clinic SBP and DBP,6,Abstract,hl_o,10912743,test,gold,o
391,aspirin,7,Abstract,ss_i,10912743,test,gold,i
392,Ambulatory SBP and DBP,7,Abstract,ss_o,10912743,test,gold,o
393,aspirin,7,Abstract,hl_i,10912743,test,gold,i
394,Ambulatory SBP and DBP,7,Abstract,hl_o,10912743,test,gold,o
396,aspirin,9,Abstract,ss_i,10912743,test,gold,i
397,aspirin,9,Abstract,hl_i,10912743,test,gold,i
398,hypertensives under treatment .,10,Abstract,ss_p,10912743,test,gold,p
399,aspirin,10,Abstract,ss_i,10912743,test,gold,i
400,BP,10,Abstract,ss_o,10912743,test,gold,o
401,aspirin,10,Abstract,hl_i,10912743,test,gold,i
402,BP,10,Abstract,hl_o,10912743,test,gold,o
403,treated hypertensive patients .,0,Title,ss_p,10912743,test,gold,p
404,aspirin,0,Title,ss_i,10912743,test,gold,i
405,clinic and ambulatory blood pressure,0,Title,ss_o,10912743,test,gold,o
406,treated hypertensive patients .,0,Title,hl_p,10912743,test,gold,p
407,aspirin,0,Title,hl_i,10912743,test,gold,i
408,clinic and ambulatory blood pressure,0,Title,hl_o,10912743,test,gold,o
409,Young children with pervasive developmental disorder,0,Abstract,ss_p,10934569,test,gold,p
410,intensive treatment,0,Abstract,ss_i,10934569,test,gold,i
411,parent training .,0,Abstract,ss_i,10934569,test,gold,i
412,Young children,0,Abstract,hl_p,10934569,test,gold,p
413,pervasive developmental disorder,0,Abstract,hl_p,10934569,test,gold,p
414,intensive treatment,0,Abstract,hl_i,10934569,test,gold,i
