,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,split_anchor_type,ID,Type,Index,ann_section,ann_source,order_cluster
11,OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with,budesonide aqua,256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) .,"['OBJECTIVE', 'To', 'compare', 'the', 'effect', 'of', 'budesonide', 'Turbuhaler', '400', 'microg/day', 'with', 'budesonide', 'aqua', '256', 'microg/day', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '(', 'SAR', ')', '.']","(11, 13)","(76, 91)",-1,hl_i,10070173,Abstract,1,test,gold,5219.0
12,Secondarily to ascertain,patients ' preferences for the two nasal devices,and to assess quality of life .,"['Secondarily', 'to', 'ascertain', 'patients', ""'"", 'preferences', 'for', 'the', 'two', 'nasal', 'devices', 'and', 'to', 'assess', 'quality', 'of', 'life', '.']","(3, 11)","(24, 72)",-1,ss_o,10070173,Abstract,2,test,gold,3879.0
13,Secondarily to ascertain patients ' preferences for the two nasal devices and to assess,quality of life .,,"['Secondarily', 'to', 'ascertain', 'patients', ""'"", 'preferences', 'for', 'the', 'two', 'nasal', 'devices', 'and', 'to', 'assess', 'quality', 'of', 'life', '.']","(14, 18)","(87, 104)",-1,ss_o,10070173,Abstract,2,test,gold,1889.0
14,Secondarily to ascertain,patients ' preferences,for the two nasal devices and to assess quality of life .,"['Secondarily', 'to', 'ascertain', 'patients', ""'"", 'preferences', 'for', 'the', 'two', 'nasal', 'devices', 'and', 'to', 'assess', 'quality', 'of', 'life', '.']","(3, 6)","(24, 46)",-1,hl_o,10070173,Abstract,2,test,gold,3853.0
15,Secondarily to ascertain patients ' preferences for the two nasal devices and to assess,quality of life .,,"['Secondarily', 'to', 'ascertain', 'patients', ""'"", 'preferences', 'for', 'the', 'two', 'nasal', 'devices', 'and', 'to', 'assess', 'quality', 'of', 'life', '.']","(14, 18)","(87, 104)",-1,hl_o,10070173,Abstract,2,test,gold,1890.0
16,"DESIGN Randomized , multicentre , double-blind , double- dummy , parallel groups study .",,,"['DESIGN', 'Randomized', ',', 'multicentre', ',', 'double-blind', ',', 'double-', 'dummy', ',', 'parallel', 'groups', 'study', '.']",,,,,10070173,Abstract,3,test,gold,
17,SETTING Private practices and hospital clinics in,"Ontario , Quebec and Manitoba .",,"['SETTING', 'Private', 'practices', 'and', 'hospital', 'clinics', 'in', 'Ontario', ',', 'Quebec', 'and', 'Manitoba', '.']","(7, 13)","(49, 80)",-1,ss_p,10070173,Abstract,4,test,gold,1451.0
18,POPULATION,"Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) .",,"['POPULATION', 'Two', 'hundred', 'and', 'eighty-four', 'out-patients', 'with', 'SAR', ',', 'who', 'were', 'symptomatic', 'during', 'the', 'ragweed', 'season', ',', 'volunteered', 'for', 'enrolment', '(', '243', 'randomized', ')', '.']","(1, 25)","(10, 157)",-1,ss_p,10070173,Abstract,5,test,gold,5848.0
19,POPULATION,Two hundred and eighty-four out-patients,"with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) .","['POPULATION', 'Two', 'hundred', 'and', 'eighty-four', 'out-patients', 'with', 'SAR', ',', 'who', 'were', 'symptomatic', 'during', 'the', 'ragweed', 'season', ',', 'volunteered', 'for', 'enrolment', '(', '243', 'randomized', ')', '.']","(1, 6)","(10, 50)",-1,hl_p,10070173,Abstract,5,test,gold,2063.0
20,POPULATION Two hundred and eighty-four out-patients with,SAR,", who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) .","['POPULATION', 'Two', 'hundred', 'and', 'eighty-four', 'out-patients', 'with', 'SAR', ',', 'who', 'were', 'symptomatic', 'during', 'the', 'ragweed', 'season', ',', 'volunteered', 'for', 'enrolment', '(', '243', 'randomized', ')', '.']","(7, 8)","(56, 59)",-1,hl_p,10070173,Abstract,5,test,gold,1112.0
21,"POPULATION Two hundred and eighty-four out-patients with SAR , who were",symptomatic during the ragweed season,", volunteered for enrolment ( 243 randomized ) .","['POPULATION', 'Two', 'hundred', 'and', 'eighty-four', 'out-patients', 'with', 'SAR', ',', 'who', 'were', 'symptomatic', 'during', 'the', 'ragweed', 'season', ',', 'volunteered', 'for', 'enrolment', '(', '243', 'randomized', ')', '.']","(11, 16)","(71, 108)",-1,hl_p,10070173,Abstract,5,test,gold,3356.0
22,"POPULATION Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment (",243,randomized ) .,"['POPULATION', 'Two', 'hundred', 'and', 'eighty-four', 'out-patients', 'with', 'SAR', ',', 'who', 'were', 'symptomatic', 'during', 'the', 'ragweed', 'season', ',', 'volunteered', 'for', 'enrolment', '(', '243', 'randomized', ')', '.']","(21, 22)","(139, 142)",-1,hl_p,10070173,Abstract,5,test,gold,
23,RESULTS,Mean daily nasal symptom scores,were significantly reduced with treatment .,"['RESULTS', 'Mean', 'daily', 'nasal', 'symptom', 'scores', 'were', 'significantly', 'reduced', 'with', 'treatment', '.']","(1, 6)","(7, 38)",-1,ss_o,10070173,Abstract,6,test,gold,3354.0
24,RESULTS,Mean daily nasal symptom scores,were significantly reduced with treatment .,"['RESULTS', 'Mean', 'daily', 'nasal', 'symptom', 'scores', 'were', 'significantly', 'reduced', 'with', 'treatment', '.']","(1, 6)","(7, 38)",-1,hl_o,10070173,Abstract,6,test,gold,3355.0
25,There were no statistically significant changes from baseline for,eye symptoms .,,"['There', 'were', 'no', 'statistically', 'significant', 'changes', 'from', 'baseline', 'for', 'eye', 'symptoms', '.']","(9, 12)","(65, 79)",-1,ss_o,10070173,Abstract,7,test,gold,3266.0
26,There were no statistically significant changes from baseline for,eye symptoms .,,"['There', 'were', 'no', 'statistically', 'significant', 'changes', 'from', 'baseline', 'for', 'eye', 'symptoms', '.']","(9, 12)","(65, 79)",-1,hl_o,10070173,Abstract,7,test,gold,3267.0
27,Most patients ( more than 80 % ) achieved substantial control of their symptoms with,budesonide .,,"['Most', 'patients', '(', 'more', 'than', '80', '%', ')', 'achieved', 'substantial', 'control', 'of', 'their', 'symptoms', 'with', 'budesonide', '.']","(15, 17)","(84, 96)",-1,ss_i,10070173,Abstract,8,test,gold,5225.0
28,Most patients ( more than 80 % ) achieved substantial control of their symptoms with,budesonide .,,"['Most', 'patients', '(', 'more', 'than', '80', '%', ')', 'achieved', 'substantial', 'control', 'of', 'their', 'symptoms', 'with', 'budesonide', '.']","(15, 17)","(84, 96)",-1,hl_i,10070173,Abstract,8,test,gold,5226.0
29,The most common,nasal and non-nasal adverse events,for both groups were epistaxis and headache .,"['The', 'most', 'common', 'nasal', 'and', 'non-nasal', 'adverse', 'events', 'for', 'both', 'groups', 'were', 'epistaxis', 'and', 'headache', '.']","(3, 8)","(15, 49)",-1,ss_o,10070173,Abstract,9,test,gold,3052.0
30,The most common nasal and non-nasal adverse events for both groups were,epistaxis,and headache .,"['The', 'most', 'common', 'nasal', 'and', 'non-nasal', 'adverse', 'events', 'for', 'both', 'groups', 'were', 'epistaxis', 'and', 'headache', '.']","(12, 13)","(71, 80)",-1,ss_o,10070173,Abstract,9,test,gold,61.0
31,The most common nasal and non-nasal adverse events for both groups were epistaxis and,headache .,,"['The', 'most', 'common', 'nasal', 'and', 'non-nasal', 'adverse', 'events', 'for', 'both', 'groups', 'were', 'epistaxis', 'and', 'headache', '.']","(14, 16)","(85, 95)",-1,ss_o,10070173,Abstract,9,test,gold,2697.0
32,The most common,nasal and non-nasal adverse events,for both groups were epistaxis and headache .,"['The', 'most', 'common', 'nasal', 'and', 'non-nasal', 'adverse', 'events', 'for', 'both', 'groups', 'were', 'epistaxis', 'and', 'headache', '.']","(3, 8)","(15, 49)",-1,hl_o,10070173,Abstract,9,test,gold,3053.0
33,The most common nasal and non-nasal adverse events for both groups were,epistaxis,and headache .,"['The', 'most', 'common', 'nasal', 'and', 'non-nasal', 'adverse', 'events', 'for', 'both', 'groups', 'were', 'epistaxis', 'and', 'headache', '.']","(12, 13)","(71, 80)",-1,hl_o,10070173,Abstract,9,test,gold,62.0
34,The most common nasal and non-nasal adverse events for both groups were epistaxis and,headache .,,"['The', 'most', 'common', 'nasal', 'and', 'non-nasal', 'adverse', 'events', 'for', 'both', 'groups', 'were', 'epistaxis', 'and', 'headache', '.']","(14, 16)","(85, 95)",-1,hl_o,10070173,Abstract,9,test,gold,2698.0
35,,Turbuhaler,"was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray .","['Turbuhaler', 'was', 'easier', 'to', 'use', 'and', 'more', 'convenient', 'to', 'carry', ',', 'had', 'less', 'of', 'an', 'unpleasant', 'taste', ',', 'and', 'caused', 'less', 'nasal', 'irritation', 'than', 'the', 'aqua', 'spray', '.']","(0, 1)","(0, 10)",-1,ss_i,10070173,Abstract,10,test,gold,1050.0
36,"Turbuhaler was easier to use and more convenient to carry , had less of an",unpleasant taste,", and caused less nasal irritation than the aqua spray .","['Turbuhaler', 'was', 'easier', 'to', 'use', 'and', 'more', 'convenient', 'to', 'carry', ',', 'had', 'less', 'of', 'an', 'unpleasant', 'taste', ',', 'and', 'caused', 'less', 'nasal', 'irritation', 'than', 'the', 'aqua', 'spray', '.']","(15, 17)","(74, 90)",-1,ss_o,10070173,Abstract,10,test,gold,2671.0
37,"Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less",nasal irritation,than the aqua spray .,"['Turbuhaler', 'was', 'easier', 'to', 'use', 'and', 'more', 'convenient', 'to', 'carry', ',', 'had', 'less', 'of', 'an', 'unpleasant', 'taste', ',', 'and', 'caused', 'less', 'nasal', 'irritation', 'than', 'the', 'aqua', 'spray', '.']","(21, 23)","(109, 125)",-1,ss_o,10070173,Abstract,10,test,gold,3127.0
38,,Turbuhaler,"was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray .","['Turbuhaler', 'was', 'easier', 'to', 'use', 'and', 'more', 'convenient', 'to', 'carry', ',', 'had', 'less', 'of', 'an', 'unpleasant', 'taste', ',', 'and', 'caused', 'less', 'nasal', 'irritation', 'than', 'the', 'aqua', 'spray', '.']","(0, 1)","(0, 10)",-1,hl_i,10070173,Abstract,10,test,gold,1051.0
39,"Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less",nasal irritation,than the aqua spray .,"['Turbuhaler', 'was', 'easier', 'to', 'use', 'and', 'more', 'convenient', 'to', 'carry', ',', 'had', 'less', 'of', 'an', 'unpleasant', 'taste', ',', 'and', 'caused', 'less', 'nasal', 'irritation', 'than', 'the', 'aqua', 'spray', '.']","(21, 23)","(109, 125)",-1,hl_o,10070173,Abstract,10,test,gold,3128.0
40,More than twice as many patients preferred,Turbuhaler,to the aqua spray ( 69 % versus 31 % ) .,"['More', 'than', 'twice', 'as', 'many', 'patients', 'preferred', 'Turbuhaler', 'to', 'the', 'aqua', 'spray', '(', '69', '%', 'versus', '31', '%', ')', '.']","(7, 8)","(42, 52)",-1,ss_i,10070173,Abstract,11,test,gold,1049.0
41,More than twice as many patients preferred Turbuhaler to the,aqua spray,( 69 % versus 31 % ) .,"['More', 'than', 'twice', 'as', 'many', 'patients', 'preferred', 'Turbuhaler', 'to', 'the', 'aqua', 'spray', '(', '69', '%', 'versus', '31', '%', ')', '.']","(10, 12)","(60, 70)",-1,ss_i,10070173,Abstract,11,test,gold,278.0
42,More than twice as many patients preferred,Turbuhaler,to the aqua spray ( 69 % versus 31 % ) .,"['More', 'than', 'twice', 'as', 'many', 'patients', 'preferred', 'Turbuhaler', 'to', 'the', 'aqua', 'spray', '(', '69', '%', 'versus', '31', '%', ')', '.']","(7, 8)","(42, 52)",-1,hl_i,10070173,Abstract,11,test,gold,1048.0
43,More than twice as many patients preferred Turbuhaler to the,aqua spray,( 69 % versus 31 % ) .,"['More', 'than', 'twice', 'as', 'many', 'patients', 'preferred', 'Turbuhaler', 'to', 'the', 'aqua', 'spray', '(', '69', '%', 'versus', '31', '%', ')', '.']","(10, 12)","(60, 70)",-1,hl_i,10070173,Abstract,11,test,gold,279.0
44,Improvement in,quality of life,from baseline to clinic visits was statistically significant in both groups .,"['Improvement', 'in', 'quality', 'of', 'life', 'from', 'baseline', 'to', 'clinic', 'visits', 'was', 'statistically', 'significant', 'in', 'both', 'groups', '.']","(2, 5)","(14, 29)",-1,ss_o,10070173,Abstract,12,test,gold,1888.0
45,Improvement in,quality of life,from baseline to clinic visits was statistically significant in both groups .,"['Improvement', 'in', 'quality', 'of', 'life', 'from', 'baseline', 'to', 'clinic', 'visits', 'was', 'statistically', 'significant', 'in', 'both', 'groups', '.']","(2, 5)","(14, 29)",-1,hl_o,10070173,Abstract,12,test,gold,1887.0
46,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of,SAR .,,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(25, 27)","(143, 148)",-1,ss_p,10070173,Abstract,13,test,gold,1113.0
47,CONCLUSION Once daily use of 256 mg of,budesonide aqua,and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(8, 10)","(38, 53)",-1,ss_i,10070173,Abstract,13,test,gold,5218.0
48,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of,budesonide Turbuhaler,are equally safe and efficacious in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(14, 16)","(68, 89)",-1,ss_i,10070173,Abstract,13,test,gold,5228.0
49,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally,safe,and efficacious in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(18, 19)","(102, 106)",-1,ss_o,10070173,Abstract,13,test,gold,889.0
50,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and,efficacious,in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(20, 21)","(111, 122)",-1,ss_o,10070173,Abstract,13,test,gold,871.0
51,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of,SAR .,,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(25, 27)","(143, 148)",-1,hl_p,10070173,Abstract,13,test,gold,1111.0
52,CONCLUSION Once daily use of 256 mg of,budesonide aqua,and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(8, 10)","(38, 53)",-1,hl_i,10070173,Abstract,13,test,gold,5217.0
53,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of,budesonide Turbuhaler,are equally safe and efficacious in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(14, 16)","(68, 89)",-1,hl_i,10070173,Abstract,13,test,gold,5227.0
54,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally,safe,and efficacious in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(18, 19)","(102, 106)",-1,hl_o,10070173,Abstract,13,test,gold,890.0
55,CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and,efficacious,in the treatment of SAR .,"['CONCLUSION', 'Once', 'daily', 'use', 'of', '256', 'mg', 'of', 'budesonide', 'aqua', 'and', '400', 'mg', 'of', 'budesonide', 'Turbuhaler', 'are', 'equally', 'safe', 'and', 'efficacious', 'in', 'the', 'treatment', 'of', 'SAR', '.']","(20, 21)","(111, 122)",-1,hl_o,10070173,Abstract,13,test,gold,872.0
56,Patients preferred the,budesonide powder,formulation delivered via Turbuhaler two to one over the aqua formulation .,"['Patients', 'preferred', 'the', 'budesonide', 'powder', 'formulation', 'delivered', 'via', 'Turbuhaler', 'two', 'to', 'one', 'over', 'the', 'aqua', 'formulation', '.']","(3, 5)","(22, 39)",-1,ss_i,10070173,Abstract,14,test,gold,5223.0
57,Patients preferred the budesonide powder formulation delivered via,Turbuhaler,two to one over the aqua formulation .,"['Patients', 'preferred', 'the', 'budesonide', 'powder', 'formulation', 'delivered', 'via', 'Turbuhaler', 'two', 'to', 'one', 'over', 'the', 'aqua', 'formulation', '.']","(8, 9)","(66, 76)",-1,ss_i,10070173,Abstract,14,test,gold,1047.0
58,Patients preferred the budesonide powder formulation delivered via Turbuhaler two to one over the,aqua,formulation .,"['Patients', 'preferred', 'the', 'budesonide', 'powder', 'formulation', 'delivered', 'via', 'Turbuhaler', 'two', 'to', 'one', 'over', 'the', 'aqua', 'formulation', '.']","(14, 15)","(97, 101)",-1,ss_i,10070173,Abstract,14,test,gold,280.0
59,Patients preferred the,budesonide powder,formulation delivered via Turbuhaler two to one over the aqua formulation .,"['Patients', 'preferred', 'the', 'budesonide', 'powder', 'formulation', 'delivered', 'via', 'Turbuhaler', 'two', 'to', 'one', 'over', 'the', 'aqua', 'formulation', '.']","(3, 5)","(22, 39)",-1,hl_i,10070173,Abstract,14,test,gold,5224.0
60,Patients preferred the budesonide powder formulation delivered via,Turbuhaler,two to one over the aqua formulation .,"['Patients', 'preferred', 'the', 'budesonide', 'powder', 'formulation', 'delivered', 'via', 'Turbuhaler', 'two', 'to', 'one', 'over', 'the', 'aqua', 'formulation', '.']","(8, 9)","(66, 76)",-1,hl_i,10070173,Abstract,14,test,gold,1046.0
61,Patients preferred the budesonide powder formulation delivered via Turbuhaler two to one over the,aqua,formulation .,"['Patients', 'preferred', 'the', 'budesonide', 'powder', 'formulation', 'delivered', 'via', 'Turbuhaler', 'two', 'to', 'one', 'over', 'the', 'aqua', 'formulation', '.']","(14, 15)","(97, 101)",-1,hl_i,10070173,Abstract,14,test,gold,281.0
62,Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in,children .,,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(15, 17)","(124, 134)",-1,ss_p,10390665,Title,0,test,gold,2150.0
63,Anti-emetic efficacy of prophylactic,granisetron,compared with perphenazine for the prevention of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(4, 5)","(36, 47)",-1,ss_i,10390665,Title,0,test,gold,5435.0
64,Anti-emetic efficacy of prophylactic granisetron compared with,perphenazine,for the prevention of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(7, 8)","(62, 74)",-1,ss_i,10390665,Title,0,test,gold,5627.0
65,,Anti-emetic efficacy,of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(0, 2)","(0, 20)",-1,ss_o,10390665,Title,0,test,gold,4848.0
66,Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the,prevention,of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(10, 11)","(83, 93)",-1,ss_o,10390665,Title,0,test,gold,4038.0
67,Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in,children .,,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(15, 17)","(124, 134)",-1,hl_p,10390665,Title,0,test,gold,2151.0
68,Anti-emetic efficacy of prophylactic,granisetron,compared with perphenazine for the prevention of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(4, 5)","(36, 47)",-1,hl_i,10390665,Title,0,test,gold,5436.0
69,Anti-emetic efficacy of prophylactic granisetron compared with,perphenazine,for the prevention of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(7, 8)","(62, 74)",-1,hl_i,10390665,Title,0,test,gold,5628.0
70,,Anti-emetic efficacy,of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children .,"['Anti-emetic', 'efficacy', 'of', 'prophylactic', 'granisetron', 'compared', 'with', 'perphenazine', 'for', 'the', 'prevention', 'of', 'post-operative', 'vomiting', 'in', 'children', '.']","(0, 2)","(0, 20)",-1,hl_o,10390665,Title,0,test,gold,4849.0
