,p,p_src,p_type,i,i_src,i_type,o,o_src,o_type,ID
37,"[""peers '"", 'child with autism .', 'peers', 'child with autism .', 'Children ( N = 576 ; M age = 10.06 )', 'Children', '576', 'M age = 10.06', ""children 's"", ""children 's"", ""peers '"", 'peers']","[0, 0, 0, 0, 1, 1, 1, 1, 6, 6, 0, 0]","['ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['descriptive and explanatory information', 'descriptive ( AUT-D )', 'descriptive and explanatory information ( AUT-D + E ) .', 'descriptive ( AUT-D )', 'descriptive and explanatory information ( AUT-D + E ) .', 'descriptive information', 'combination of descriptive and explanatory information', 'combination of descriptive and explanatory information', 'descriptive and explanatory information', 'Combined descriptive and explanatory information']","[0, 1, 1, 1, 1, 4, 4, 6, 6, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i']","[""peers ' perceptions and behavioral intentions"", ""peers ' perceptions"", 'behavioral intentions', 'measures of attitudes ( Adjective Checklist ) and behavioral intentions ( Shared Activities Questionnaire ) .', '( Adjective Checklist )', '( Shared Activities Questionnaire )', 'behavioral intentions', 'academic intentions .', ""children 's attitudes and behavioral intentions ."", ""children 's attitudes"", 'behavioral intentions', ""peers ' perceptions"", ""peers ' perceptions""]","[0, 0, 0, 2, 2, 2, 5, 5, 6, 6, 6, 0, 0]","['ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o']",15193668
38,"['adults with autism .', 'adults with autism .', 'adults with autism', 'adults with autism', 'adults with autism', 'adults with autism', 'adults with autism .', 'adults with autism .']","[1, 1, 2, 2, 3, 5, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'ss_p', 'hl_p']","['visual search', 'visual search']","[0, 0]","['ss_i', 'ss_i']","['visual search tasks', 'searching for targets .', 'searching for targets .', 'visual search performance', 'visual discrimination ability .', 'visual search performance', 'visual discrimination ability .', 'unique item detection', 'discrimination', 'unique item detection']","[0, 2, 2, 3, 3, 3, 3, 5, 5, 5]","['ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o']",15358868
39,"['post-acute hemiparetic patients', 'post-acute hemiparetic patients', 'Twenty-six patients within 3 months of onset of stroke', 'Twenty-six patients within 3 months of onset of stroke', 'stroke patients ]', 'stroke patients ]']","[0, 0, 1, 1, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['conventional physical therapy alone', 'with a specialised balance retraining program .', 'conventional physical therapy alone', 'specialised balance retraining program', 'physical therapy', 'therapy and retraining', 'physical therapy', 'therapy and retraining', 'conventional therapy', 'therapy combined with standing balance training by biofeedback ( BPM Monitor ) .', 'conventional therapy', 'therapy', 'standing balance training by biofeedback ( BPM Monitor )', 'conventional therapy .', 'conventional therapy .']","[0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 3, 3, 12, 12]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['gait improvement', 'gait improvement', 'Clinical measures', 'Gait spatiotemporal parameters', 'Gait spatiotemporal parameters', 'clinical scores', 'clinical scores', 'time between stroke and the beginning of walking', 'time between stroke and the beginning of walking', 'Gait velocity', 'Gait velocity', 'walking pattern', 'duration of the paretic limb single stance .', 'walking pattern', 'duration of the paretic limb single stance .', 'duration of the reception double stance on the paretic limb', 'duration of the reception double stance on the paretic limb', 'anticipation equilibrium']","[0, 0, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 10, 10, 12]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o']",15848261
40,"['98 patients', 'flexible nasendoscopy .', '98 patients', 'flexible nasendoscopy .', 'flexible nasendoscopy .', 'flexible nasendoscopy .', 'flexible nasendoscopy :', 'flexible nasendoscopy :']","[1, 1, 1, 1, 6, 6, 0, 0]","['ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['cophenylcaine', 'placebo', 'cophenylcaine', 'placebo', 'cophenylcaine', 'cophenylcaine', 'cophenylcaine', 'cophenylcaine', 'Cophenylcaine spray', 'placebo', 'Cophenylcaine', 'placebo']","[1, 1, 1, 1, 4, 4, 6, 6, 0, 0, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['visual analogue scale ( 1-100 ) was used to record pain , unpleasantness of taste and overall discomfort experienced .', 'pain , unpleasantness of taste and overall discomfort experienced .', 'pain and discomfort', 'pain and discomfort', 'pain or overall discomfort', 'sensation of bad taste', 'pain or overall discomfort', 'sensation of bad taste', 'unpleasantness', 'pain', 'unpleasantness of taste .', 'unpleasantness', 'pain', 'unpleasantness of taste .']","[2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5]","['ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o']",15854186
41,"['acute childhood diarrhoea', 'children with acute diarrhoea .', 'children with acute diarrhoea .', 'Two hundred children', 'Two hundred children', 'acute diarrhoea in children', 'acute diarrhoea in children', 'children with acute diarrhoea .', 'children', 'acute diarrhoea']","[1, 2, 2, 3, 3, 10, 10, 0, 0, 0]","['ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['Saccharomyces boulardii .', 'Saccharomyces boulardii .', 'S. boulardii', 'S. boulardii', 'S. boulardii', '( S. boulardii', 'placebo ( placebo', 'S. boulardii', 'S. boulardii', 'placebo', 'placebo', 'S. boulardii', 'placebo', 'S. boulardii', 'placebo', 'S. boulardii', 'placebo', 'S. boulardii', 'placebo', 'S. boulardii', 'S. boulardii', 'S. boulardii', 'placebo', 'S. boulardii', 'placebo', 'placebo', 'S. boulardii', 'placebo', 'S. boulardii', 'S. boulardii', 'S. boulardii', 'S. boulardii', 'S. boulardii', 'Saccharomyces boulardii', 'Saccharomyces boulardii']","[1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 9, 9, 10, 10, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['effect', 'average stool frequency', 'average stool frequency', 'duration of diarrhoea', 'duration of diarrhoea', 'effect', 'duration of hospital stay', 'duration of hospital stay', 'duration of acute diarrhoea and the duration of hospital stay .', 'duration of acute diarrhoea', 'duration of hospital stay']","[2, 4, 4, 5, 5, 6, 7, 7, 9, 9, 9]","['ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o']",15858959
42,"['German', 'Schizophrenia', 'patients in the "" early initial prodromal state "" .', '"" early initial prodromal state ""', 'patients in the "" late initial prodromal state ""', '"" late initial prodromal state ""', '1212 individuals seeking help for mental health problems', 'four university centres .', '1212 individuals seeking help for mental health problems', 'More than 388 individuals fulfilled criteria for both interventions and 188 ( 48.5 % ) gave informed consent to participate in the trials .', 'More than 388 individuals fulfilled criteria for both interventions and 188 ( 48.5 % ) gave informed consent to participate in the trials .', 'people at increased risk of developing psychosis .', 'initial prodromal states of psychosis in Germany :', 'initial prodromal states of psychosis', 'Germany']","[0, 0, 3, 3, 4, 4, 6, 6, 6, 7, 7, 8, 0, 0, 0]","['ss_p', 'ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p']","['Comprehensive cognitive-behavioural therapy', 'Comprehensive cognitive-behavioural therapy', 'atypical neuroleptic amisulpride', 'atypical neuroleptic amisulpride']","[3, 3, 4, 4]","['ss_i', 'hl_i', 'ss_i', 'hl_i']",[],[],[],16055807
43,"['digestive surgery patients .', 'digestive surgery patients .', 'Forty patients who underwent digestive surgery', 'Forty patients who underwent digestive surgery', 'digestive surgery patients .', 'digestive surgery patients .', 'after digestive surgery ]', 'after digestive surgery ]']","[0, 0, 1, 1, 7, 7, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['branch chain amino acid ( BCAA ) enriched formula', 'branch chain amino acid ( BCAA ) enriched formula', 'BCAA enriched', 'routine amino acid', 'BCAA enriched', 'routine amino acid', 'BCAA', 'BCAA', 'BCAA-enriched', 'BCAA-enriched', 'BCAA enriched formula', 'BCAA enriched formula', 'branch chain amino acid enriched formula', 'amino acid enriched formula']","[0, 0, 1, 1, 1, 1, 3, 3, 6, 6, 7, 7, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['nutritional status', 'postoperative fatigue', 'nutritional status', 'postoperative fatigue', 'Nitrogen balance , serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score', 'Nitrogen balance , serum total protein , albumin , prealbumin , transferrin , retinol binding protein and postoperative fatigue score', 'cumulative postoperative fatigue scores', 'cumulative postoperative fatigue scores', 'nitrogen balance', 'cumulative nitrogen balance', 'nitrogen balance', 'cumulative nitrogen balance', 'serum total protein , albumin , prealbumin , transferrin', 'serum total protein , albumin , prealbumin , transferrin', 'serum level of retinol binding protein', 'serum level of retinol binding protein', 'postoperative fatigue score', 'nutritional status', 'postoperative fatigue score', 'nutritional status', 'postoperative fatigue and nutritional status', 'postoperative fatigue', 'nutritional status']","[0, 0, 0, 0, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 6, 6, 7, 7, 7, 7, 0, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o']",16167234
44,"['Parents of children who receive the diagnosis of autistic spectrum disorder ( ASD )', 'Parents of children', 'diagnosis of autistic spectrum disorder ( ASD )', 'parents of children with ASD', 'parents of children with ASD', 'parents of children with autistic spectrum disorder .', 'parents of children', 'autistic spectrum disorder']","[0, 0, 0, 1, 1, 0, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['nursing intervention', 'nursing intervention', 'post-diagnosis nursing intervention', 'post-diagnosis nursing intervention', 'usual care', 'contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan .', 'usual care', 'contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan', 'usual care', 'consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan', 'usual care', 'consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan', 'nursing intervention', 'nursing intervention .', 'Intervention', 'Intervention']","[1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 7, 8, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i']","['effects', ""parents ' reports of stress , impact of event ( diagnosis ) , and use of services"", ""parents ' reports of stress"", 'impact of event ( diagnosis )', 'use of services', '"" impact of event ""', '"" perceived stress ""', '"" impact of event ""', '"" perceived stress ""']","[2, 2, 2, 2, 2, 5, 5, 5, 5]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",16295154
45,"['human', 'human']","[0, 0]","['ss_p', 'hl_p']","['melatonin', 'melatonin', 'Melatonin', 'placebo', 'Melatonin', 'placebo', 'melatonin', 'melatonin', 'melatonin', 'melatonin', 'melatonin', 'melatonin', 'melatonin', 'melatonin', 'melatonin', 'melatonin']","[1, 1, 2, 2, 2, 2, 4, 4, 5, 5, 6, 6, 7, 7, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['brain activities', 'induction of sleepiness', 'task-related activity', 'task-related activity', 'subjective measurements of fatigue .', 'subjective measurements of fatigue .', 'activation in the left parahippocampus', 'activation in the left parahippocampus', 'brain activity', 'brain activity', 'fatigue', 'effect', 'brain activity', 'fatigue', 'sleep-associated brain activation', 'effects', 'effects']","[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 6, 7, 0, 0]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o']",16427787
46,"['patients with cancer-associated anemia .', 'patients with cancer-associated anemia .', 'Three hundred sixty-five patients', 'Three hundred sixty-five patients', 'anemic patients with cancer .', 'anemic patients with cancer .']","[0, 0, 2, 2, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa', 'epoetin alfa .', 'epoetin alfa .', 'erythropoietin', 'erythropoietin']","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 8, 8, 9, 9, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['requiring transfusions', 'requiring transfusions', 'hemoglobin ( Hb ) increment', 'drug dose', 'Hb', 'Hb', 'hemoglobin ( Hb ) increment', 'drug dose', 'Hb', 'Hb', 'Toxicities , including thromboembolism', 'overall survival', 'Toxicities', 'thromboembolism', 'overall survival', 'global quality of life ( QOL )', 'global QOL', 'QOL', 'global quality of life ( QOL )', 'global QOL', 'QOL', 'safely', 'transfusion needs', 'QOL .', 'transfusion needs', 'QOL .', 'Hb increment', 'Hb increment']","[4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 9, 9]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o']",16505427
47,"['10 patients with asthma due to HDM', '10 patients with asthma due to HDM', 'asthma due to HDM .', 'asthma due to house dust mite Dermatophagoides pteronyssinus :']","[0, 0, 6, 0]","['ss_p', 'hl_p', 'ss_p', 'ss_p']","['local immunotherapy', 'powder extract of house dust mite ( HDM )', 'parenteral immunotherapy ( PI )', 'local immunotherapy', 'powder extract of house dust mite ( HDM )', 'parenteral immunotherapy ( PI )', 'placebo', 'lactose', 'placebo', 'lactose', 'disodium cromoglycate ( DSCG )', 'disodium cromoglycate ( DSCG )', 'DSCG', 'immunotherapy', 'immunotherapy']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 7, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'hl_i']","['efficacy', 'tolerability', 'efficacy', 'tolerability', 'symptoms score', 'peak expiratory flow ( PEF ) -derived parameters', 'bronchial response', 'symptoms score', 'peak expiratory flow ( PEF ) -derived parameters', 'bronchial response', 'bronchial responsiveness', 'immunologic humoral and cellular parameters in peripheral blood', 'bronchial responsiveness', 'immunologic humoral and cellular parameters in peripheral blood', 'local important adverse reactions', 'systemic side effects', 'local important adverse reactions', 'systemic side effects', 'effective', 'tolerated', 'systemic side effects .', 'systemic side effects .']","[0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 7, 7, 7]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o']",1669598
48,"['patients with C. difficile-associated diarrhea ( CDAD )', 'patients with C. difficile-associated diarrhea ( CDAD )', '77 patients with CDAD', '77 patients with CDAD', 'patients with CDAD .', 'patients with CDAD .', 'individuals with CDAD', 'individuals with CDAD']","[0, 0, 2, 2, 3, 3, 4, 4]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['whey protein concentrate', 'immunized against Clostridium difficile ( C. difficile ) and its toxins , toxin A and toxin B', 'whey protein concentrate', 'immunized against Clostridium difficile ( C.', 'anti-C. difficile whey protein concentrate ( anti-CD WPC )', 'anti-CD WPC', 'regular whey protein concentrate .', 'anti-C. difficile whey protein concentrate ( anti-CD WPC )', 'anti-CD WPC', 'regular whey protein concentrate .', 'anti-CD WPC', 'anti-CD WPC', 'anti-CD WPC', 'anti-CD WPC', 'anti-CD WPC', 'anti-CD WPC', 'whey protein concentrate', 'whey protein concentrate']","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['safety', 'safety', 'relapse of the infection .', 'adverse event monitoring , physical examinations , and extensive hematological and biochemical assessments', 'safe', 'safe', 'safe', 'safe', 'safety']","[1, 2, 2, 3, 3, 3, 4, 4, 0]","['ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o']",17293018
49,"['patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy .', 'patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy .', 'patients with AML or MDS who received chemotherapy', 'patients with AML or MDS who received chemotherapy', 'patients with acute myeloid leukemia and myelodysplastic syndromes :', 'Japanese', 'patients with acute myeloid leukemia and myelodysplastic syndromes :', 'Japanese']","[0, 0, 5, 5, 0, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p']","['fluconazole', 'itraconazole', 'fluconazole', 'itraconazole', 'itraconazole', 'fluconazole', 'itraconazole', 'fluconazole', 'itraconazole', 'fluconazole', 'fluconazole', 'itraconazole', 'itraconazole', 'fluconazole .', 'itraconazole', 'fluconazole', 'itraconazole', 'fluconazole']","[0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 4, 4, 5, 5, 0, 0, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['prophylactic effects', 'Adverse events', 'Adverse events', 'cases with probable or possible infections', 'probable or possible infections', 'frequency of infection', 'frequency of infection', 'efficacy', 'prophylactic effect']","[0, 2, 2, 3, 3, 4, 4, 5, 0]","['ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o']",17321989
50,"['pospartal anemia', 'Prague', 'Prague .', 'Prague', 'Prague', '50 women with clinical and lab signs of postpartal anemia .', '50 women', 'clinical and lab signs of postpartal anemia', 'pospartal anemia', 'postpartum anemia', 'postpartum']","[0, 2, 2, 2, 2, 3, 3, 3, 7, 0, 0]","['ss_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p']","['trivalent ferrum preparation .', 'trivalent ferrum preparation .', 'sacharose ferric oxide ( Venofer )', 'sacharose ferric oxide ( Venofer )', 'Venofer', 'Venofer', 'trivalent saccharose ferric oxide', 'trivalent saccharose ferric oxide', 'trivalent ferrum preparation ]', 'trivalent ferrum preparation ]']","[0, 0, 3, 3, 7, 7, 8, 8, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['effectivity', 'safeness', 'effectivity', 'safeness', 'values of red blood count', 'values of red blood count', 'serum values of soluble transferrin receptors and ferritin', 'iron cell saturation and body iron reserves', 'serum values of soluble transferrin receptors and ferritin', 'iron cell saturation', 'body iron reserves', 'adverse events', 'adverse events', 'effective', 'effective', 'serious adverse event', 'serious adverse event']","[0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",17616069
51,"['98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .', '98', 'aged between 18 and 75', 'pain-inflammatory pathologies of ENT nature .', 'pain-inflammatory pathologies of the ear , nose , and throat ]']","[1, 1, 1, 1, 0]","['ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p']","['non-steroid anti-inflammatory drug .', 'Nimesulide', 'flurbiprofen', 'Nimesulide', 'flurbiprofen', 'Nimesulide', 'Nimesulide', 'nimesulide', 'nimesulide']","[0, 1, 1, 1, 1, 3, 3, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['efficacy', 'tolerability', 'efficacy', 'tolerability', 'anti-inflammatory , analgesic and antipyretic activity', 'symptoms of the inflammatory state', 'anti-inflammatory , analgesic and antipyretic activity', 'symptoms of the inflammatory state', 'duration', 'duration', 'effectiveness', 'tolerability', 'effectiveness', 'tolerability', 'efficacy', 'tolerance', 'efficacy', 'tolerance']","[0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 0, 0, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",1780092
52,"['patients with asthma poorly controlled on low dose inhaled corticosteroids', 'patients with asthma', 'adult asthmatics .', 'adult asthmatics .', 'Sixty-six subjects', 'Sixty-six subjects', 'asthma .']","[0, 0, 1, 1, 2, 2, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p']","['corticosteroids', 'salmeterol', 'fluticasone propionate ( FP ) ( Seretide ; SFC )', 'FP', 'montelukast ( FP/M )', 'salmeterol', 'fluticasone propionate ( FP ) ( Seretide ; SFC )', 'FP', 'montelukast ( FP/M )', 'SFC', 'FP/M', 'SFC', 'FP/M', 'SFC', 'FP/M .', 'SFC', 'FP/M .', 'FP/M', 'SFC', 'FP/M', 'SFC', 'SFC .', 'SFC .', 'Salmeterol', 'fluticasone propionate', 'fluticasone propionate', 'montelukast :', 'Salmeterol', 'fluticasone propionate', 'fluticasone propionate', 'montelukast :']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i']","['sputum inflammatory markers , airway responsiveness , lung function , and symptoms', 'sputum inflammatory markers', 'airway responsiveness , lung function', 'symptoms', 'changes in neutrophil , eosinophil , macrophage , lymphocyte , and epithelial cell levels in induced sputum .', 'changes in neutrophil , eosinophil , macrophage , lymphocyte , and epithelial cell levels in induced sputum .', 'change in other sputum markers of airway inflammation , airway responsiveness , symptom control , and lung function .', 'change in other sputum markers of airway inflammation , airway responsiveness , symptom control , and lung function .', 'induced sputum inflammatory cells', 'sputum eosinophils .', 'sputum inflammatory', 'sputum eosinophils .', 'airway responsiveness', 'symptom control and lung function', 'airway responsiveness', 'symptom control and lung function', 'sputum cysteinyl leukotrienes', 'sputum cysteinyl leukotrienes', 'eosinophilic airway inflammation', 'symptom control', 'eosinophilic airway inflammation', 'effects on airway inflammation', 'airway inflammation']","[1, 1, 1, 1, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 0, 0]","['ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",17897478
