,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
12,"We study the commonsense ability of GPT , BERT , XLNet , and RoBERTa by testing",them,"on seven challenging benchmarks , finding that language modeling and its variants are effective objectives for promoting models ' commonsense ability while bi - directional context and larger training set are bonuses .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,study,0.0,3.0,8.0,3.0,8.0,['We'],"['study', 'testing', 'finding']",testing,[],"[""seven challenging benchmarks , finding that language modeling and its variants are effective objectives for promoting models ' commonsense ability while bi - directional context and larger training set are bonuses .""]",-1.0,0.0,72.0,80.0,72.0,80.0,study,study,['We'],"[""the commonsense ability of GPT , BERT , XLNet , and RoBERTa by testing them on seven challenging benchmarks , finding that language modeling and its variants are effective objectives for promoting models ' commonsense ability while bi - directional context and larger training set are bonuses .""]",0,3,9,3,9,challenging,on,"['PRON', 'VERB', 'ADP']","['them', 'testing', 'by']",https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,3,"We study the commonsense ability of GPT, BERT, XLNet, and RoBERTa by testing them on seven challenging benchmarks, finding that language modeling and its variants are effective objectives for promoting models' commonsense ability while bi-directional context and larger training set are bonuses.","['We', 'study', 'the', 'commonsense', 'ability', 'of', 'GPT', ',', 'BERT', ',', 'XLNet', ',', 'and', 'RoBERTa', 'by', 'testing', 'them', 'on', 'seven', 'challenging', 'benchmarks', ',', 'finding', 'that', 'language', 'modeling', 'and', 'its', 'variants', 'are', 'effective', 'objectives', 'for', 'promoting', 'models', ""'"", 'commonsense', 'ability', 'while', 'bi', '-', 'directional', 'context', 'and', 'larger', 'training', 'set', 'are', 'bonuses', '.']","(16, 17)","(79, 83)",-1.0
13,We additionally find that current models do poorly on tasks require more necessary inference steps.,,,S,"['NP', 'ADVP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,find,0.0,16.0,20.0,16.0,20.0,['We'],['find'],,,,,,,,,,require,require,['We additionally find that current models do poorly on tasks'],"['more necessary inference steps', '.']",0,60,68,60,68,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,4,We additionally find that current models do poorly on tasks require more necessary inference steps.,"['We', 'additionally', 'find', 'that', 'current', 'models', 'do', 'poorly', 'on', 'tasks', 'require', 'more', 'necessary', 'inference', 'steps.']",,,
14,"Finally, we test the robustness of models by making dual test cases, which are correlated so that the correct prediction of one sample should lead to correct prediction of the other.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,10.0,12.0,10.0,12.0,test,0.0,13.0,17.0,13.0,17.0,['we'],['test'],,,,,,,,,,correlated,are correlated,"['which', 'Finally , we test the robustness of models by making dual test cases ,']",[],0,77,92,77,92,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,5,"Finally, we test the robustness of models by making dual test cases, which are correlated so that the correct prediction of one sample should lead to correct prediction of the other.","['Finally,', 'we', 'test', 'the', 'robustness', 'of', 'models', 'by', 'making', 'dual', 'test', 'cases,', 'which', 'are', 'correlated', 'so', 'that', 'the', 'correct', 'prediction', 'of', 'one', 'sample', 'should', 'lead', 'to', 'correct', 'prediction', 'of', 'the', 'other.']",,,
15,"Interestingly, the models show confusion on these test cases, which suggests that they learn commonsense at the surface rather than the deep level.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",the models,0.0,16.0,26.0,16.0,26.0,show,0.0,27.0,31.0,27.0,31.0,"['the', 'models']",['show'],,,,,,,,,,",",",",[],"['Interestingly the models show confusion on these test cases , which suggests that they learn commonsense at the surface rather than the deep level .']",0,14,16,14,16,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,6,"Interestingly, the models show confusion on these test cases, which suggests that they learn commonsense at the surface rather than the deep level.","['Interestingly,', 'the', 'models', 'show', 'confusion', 'on', 'these', 'test', 'cases,', 'which', 'suggests', 'that', 'they', 'learn', 'commonsense', 'at', 'the', 'surface', 'rather', 'than', 'the', 'deep', 'level.']",,,
16,"We release a test set, named CATs publicly, for future research.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,release,0.0,3.0,10.0,3.0,10.0,['We'],['release'],,,,,,,,,,release,release,['We'],"['a test set ,', 'named CATs publicly ,']",0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,7,"We release a test set, named CATs publicly, for future research.","['We', 'release', 'a', 'test', 'set,', 'named', 'CATs', 'publicly,', 'for', 'future', 'research.']",,,
17,Evaluating Commonsense in Pre-trained Language Models.,,,S,"['VP', '.']",,,,,,,Evaluating,0.0,0.0,10.0,0.0,10.0,[],['Evaluating'],,,,,,,,,,Commonsense,Commonsense,['Evaluating'],[],0,11,23,11,23,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Title,0,Evaluating Commonsense in Pre-trained Language Models.,"['Evaluating', 'Commonsense', 'in', 'Pre-trained', 'Language', 'Models.']",,,
18,"Language model pre-training has been shown to capture a surprising amount of world knowledge, crucial for NLP tasks such as question answering.",,,S,"['NP', 'VP', '.']",Language model - training,0.0,0.0,29.0,0.0,29.0,has been shown,0.0,30.0,44.0,30.0,44.0,"['Language', 'model', '-', 'training']","['has', 'been', 'shown', 'capture']",,,,,,,,,,shown,has been shown,['Language model pre - training'],[],0,30,45,30,45,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Abstract,0,"Language model pre-training has been shown to capture a surprising amount of world knowledge, crucial for NLP tasks such as question answering.","['Language', 'model', 'pre-training', 'has', 'been', 'shown', 'to', 'capture', 'a', 'surprising', 'amount', 'of', 'world', 'knowledge,', 'crucial', 'for', 'NLP', 'tasks', 'such', 'as', 'question', 'answering.']",,,
19,"However, this knowledge is stored implicitly in the parameters of a neural network, requiring ever-larger networks to cover more facts.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",this knowledge,0.0,10.0,24.0,10.0,24.0,is stored requiring,0.0,25.0,95.0,25.0,95.0,"['this', 'knowledge']","['is', 'stored', 'requiring', 'cover']",,,,,,,,,,stored,is stored,"['However', ', this knowledge']","[',']",0,25,35,25,35,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Abstract,1,"However, this knowledge is stored implicitly in the parameters of a neural network, requiring ever-larger networks to cover more facts.","['However,', 'this', 'knowledge', 'is', 'stored', 'implicitly', 'in', 'the', 'parameters', 'of', 'a', 'neural', 'network,', 'requiring', 'ever-larger', 'networks', 'to', 'cover', 'more', 'facts.']",,,
20,"To capture knowledge in a more modular and interpretable way, we augment language model pre-training with a latent knowledge retriever, which allows the model to retrieve and attend over documents from a large corpus such as Wikipedia, used during pre-training, fine-tuning and inference.",,,S,"['S', ',', 'NP', 'VP', '.']",we,0.0,63.0,65.0,63.0,65.0,augment,0.0,66.0,73.0,66.0,73.0,['we'],"['capture', 'augment']",,,,,,,,,,model,model,"['To capture knowledge in a more modular and interpretable way , we augment , which allows the model to retrieve and attend over documents from a large corpus such as Wikipedia , used during pre - training , fine - tuning and inference .', 'language']","['pre -', 'training with a latent knowledge retriever']",0,83,89,83,89,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Abstract,2,"To capture knowledge in a more modular and interpretable way, we augment language model pre-training with a latent knowledge retriever, which allows the model to retrieve and attend over documents from a large corpus such as Wikipedia, used during pre-training, fine-tuning and inference.","['To', 'capture', 'knowledge', 'in', 'a', 'more', 'modular', 'and', 'interpretable', 'way,', 'we', 'augment', 'language', 'model', 'pre-training', 'with', 'a', 'latent', 'knowledge', 'retriever,', 'which', 'allows', 'the', 'model', 'to', 'retrieve', 'and', 'attend', 'over', 'documents', 'from', 'a', 'large', 'corpus', 'such', 'as', 'Wikipedia,', 'used', 'during', 'pre-training,', 'fine-tuning', 'and', 'inference.']",,,
21,"For the first time, we show how to pre-train such a knowledge retriever in an unsupervised manner, using masked language modeling as the learning signal and backpropagating through a retrieval step that considers millions of documents.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,21.0,23.0,21.0,23.0,show pre - train,0.0,24.0,47.0,24.0,47.0,['we'],"['show', 'pre', '-', 'train', 'using', 'backpropagating']",,,,,,,,,,show,show,"[',', 'we']","['how to pre - train such a knowledge retriever in an unsupervised manner , using masked language modeling as the learning signal and backpropagating through a retrieval step that considers millions of documents .']",0,24,29,24,29,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Abstract,3,"For the first time, we show how to pre-train such a knowledge retriever in an unsupervised manner, using masked language modeling as the learning signal and backpropagating through a retrieval step that considers millions of documents.","['For', 'the', 'first', 'time,', 'we', 'show', 'how', 'to', 'pre-train', 'such', 'a', 'knowledge', 'retriever', 'in', 'an', 'unsupervised', 'manner,', 'using', 'masked', 'language', 'modeling', 'as', 'the', 'learning', 'signal', 'and', 'backpropagating', 'through', 'a', 'retrieval', 'step', 'that', 'considers', 'millions', 'of', 'documents.']",,,
22,We demonstrate the effectiveness of Retrieval-Augmented Language Model pre-training (REALM) by fine-tuning on the challenging task of Open-domain Question Answering (Open-QA).,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,demonstrate,0.0,3.0,14.0,3.0,14.0,['We'],['demonstrate'],,,,,,,,,,Question,Question,[],['Answering ( Open - QA ) .'],0,156,165,156,165,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Abstract,4,We demonstrate the effectiveness of Retrieval-Augmented Language Model pre-training (REALM) by fine-tuning on the challenging task of Open-domain Question Answering (Open-QA).,"['We', 'demonstrate', 'the', 'effectiveness', 'of', 'Retrieval-Augmented', 'Language', 'Model', 'pre-training', '(REALM)', 'by', 'fine-tuning', 'on', 'the', 'challenging', 'task', 'of', 'Open-domain', 'Question', 'Answering', '(Open-QA).']",,,
23,"We compare against state-of-the-art models for both explicit and implicit knowledge storage on three popular Open-QA benchmarks, and find that we outperform all previous methods by a significant margin (4-16% absolute accuracy), while also providing qualitative benefits such as interpretability and modularity.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,compare and find,0.0,3.0,146.0,3.0,146.0,['We'],"['compare', 'find']",,,,,,,,,,providing,providing,"['while', 'We compare against state - of - the - art models for both explicit and implicit knowledge storage on three popular Open - QA benchmarks , and find that we outperform all previous methods by a significant margin ( 4 - 16 % absolute accuracy ) also']","['qualitative', ', benefits such as interpretability and modularity .']",0,255,265,255,265,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Abstract,5,"We compare against state-of-the-art models for both explicit and implicit knowledge storage on three popular Open-QA benchmarks, and find that we outperform all previous methods by a significant margin (4-16% absolute accuracy), while also providing qualitative benefits such as interpretability and modularity.","['We', 'compare', 'against', 'state-of-the-art', 'models', 'for', 'both', 'explicit', 'and', 'implicit', 'knowledge', 'storage', 'on', 'three', 'popular', 'Open-QA', 'benchmarks,', 'and', 'find', 'that', 'we', 'outperform', 'all', 'previous', 'methods', 'by', 'a', 'significant', 'margin', '(4-16%', 'absolute', 'accuracy),', 'while', 'also', 'providing', 'qualitative', 'benefits', 'such', 'as', 'interpretability', 'and', 'modularity.']",,,
24,REALM: Retrieval-Augmented Language Model Pre-Training.,,,NP,"['NP', ':', 'NP', '.']",REALM Retrieval Augmented Language Model Pre - Training,0.0,0.0,59.0,0.0,59.0,,,,,,,"['REALM', 'Retrieval', 'Augmented', 'Language', 'Model', 'Pre', '-', 'Training']",[],,,,,,,,,,REALM,REALM,[],[': Retrieval - Augmented Language Model Pre - Training'],0,0,6,0,6,,,,,https://www.semanticscholar.org/paper/REALM%3A-Retrieval-Augmented-Language-Model-Guu-Lee/832fff14d2ed50eb7969c4c4b976c35776548f56,2,Title,0,REALM: Retrieval-Augmented Language Model Pre-Training.,"['REALM:', 'Retrieval-Augmented', 'Language', 'Model', 'Pre-Training.']",,,
